"ID","select_reject_by (Wim/Christophe)","notes (Wim/Christophe)","select_reject_by (Kural)","notes kural","title","abstract","source_type","year","database","journal","volume","issue","start_page","end_page","doi","issn"
11," "," "," "," ","research on the theoretical basis and technical path of predictive policing",NA,"CONF","2018","Google Scholar","2018 7th International Conference on Energy, Environment and Sustainable Development (ICEESD 2018)",NA,NA,"737","741",NA,"946252503X"
12," "," "," "," ","examining active shooter events through the rational choice perspective and crime script analysis",NA,"JOUR","2017","Google Scholar","Security journal","30",NA,"880","902",NA,"0955-1662"
13," "," "," "," ","an investigation of mass public shooting attacks against government targets in the united states","The current study examines mass public shooters who target government agents and institutions in the United States. This research uses a rational choice perspective to examine the incidence, motivations, and target selection. Additionally, this work provides an in-depth investigation of ideological attacks, as well as a comparison against general mass public shooting perpetrator, planning, and incident characteristics. Results indicate non-ideological attacks against government targets occur more than ideologically motivated shootings. Importantly, the majority of ideologically motivated mass public shooters do not attack government targets. These findings provide implications for security, policy, and prevention strategies that have historically focused on ideologically motivated mass public shootings against government targets.","Scholarly Journals","2021","Google Scholar","Studies in Conflict and Terrorism","44","5","387","409","https://doi.org/10.1080/1057610X.2018.1551294","1057-610X"
14," "," "," "," ","modeling crime in an uptown neighborhood the case of santa fe in mexico city",NA,"JOUR","2019","Google Scholar","Papers in Applied Geography","5","1-2","1","12",NA,"2375-4931"
15," "," "," "," ","in their own words criminals on crime",NA,"JOUR","2000","Google Scholar","Teaching Sociology","28","3","276",NA,NA,"0092-055X"
16," "," "," "," ","introduction to the special issue urban mobility and crime patterns","This Special Issue is a collection of seven papers that seek to better our understanding of how urban mobility relates to crime patterns, and how day to day movement of people in urban spaces (urban mobility) is related to spatio-temporal patterns of crime. It focusses on urban mobility, or the dynamic movement of people in relation to crime risk. Moreover, it questions how to best measure this risk using an appropriate crime denominator. Building on the work of Sarah Boggs, this special issue contends that we need more than an appropriate denominator related to the type of crime we are measuring, for example violence based on the number of potential victims present (the exposed or ambient population), or the number of burglaries per households in an area, or the number of shoplifting offences per number of shops present. It argues that this denominator needs to be both ‘crime type’ appropriate, and to be spatially and temporally appropriate. When considering urban mobility as flows of people, the challenge is that the denominator can not be considered as a fixed or static concept, and that we need to consider the ‘dynamic denominator’ challenge. Indeed, crime hot spots which do not account for dynamic denominators may be misleading for resource prioritisation. This special issue explores a range of potential solutions to this including mobile/cell phone data, transportation data, land use data, and other possible measures to address this. © 2021, The Author(s), under exclusive licence to Springer Nature B.V.","Scholarly Journals","2021","Google Scholar","European journal on criminal policy and research","27","3","307","311","https://doi.org/10.1007/s10610-021-09501-7","0928-1371"
17," "," "," "," ","explaining highrisk concentrations of crime in the city social disorganization crime opportunities and important next steps",NA,"JOUR","2014","Google Scholar","Journal of research in crime and delinquency","51","4","480","498",NA,"0022-4278"
18," "," "," "," ","lone actor terrorists a residencetocrime approach","Although there has recently been a considerable increase in research into lone actor terrorism, one of the main areas that remains understudied is that of target selection. The lack of empirically driven studies that can guide prevention measures is a notable oversight. This paper applies methods from environmental criminology to examine the residence-to-attack journeys of 122 lone terrorist acts in the U.S and Europe. The distance decay effect was evident, and significant differences were found between subgroups. Individuals were more likely to travel further if a) they were in the U.S, b) they had links to a wider network, c) they had a single-issue ideology, d) they attacked an iconic target, e) they attacked a symbolic building, or f) they used a bomb as their main weapon. A few case studies are discussed which highlight a need to conduct further research that considers the whole nodal network of an individual. The findings suggest that distance can be put forward as a constraining factor on lone actor target selection and provide support for the notion that the spatial decision making of terrorists is similar to traditional criminals.","JOUR","2020","Google Scholar","Terrorism and Political Violence","32","7","1413","1438","10.1080/09546553.2018.1481050","0954-6553"
19," "," "," "," ","contrasting simulated and empirical experiments in crime prevention",NA,"JOUR","2008","Google Scholar","Journal of Experimental Criminology","4",NA,"195","213",NA,"1573-3750"
20," "," "," "," ","expert decision making in burglars",NA,"JOUR","2006","Google Scholar","British Journal of Criminology","46","5","935","949",NA,"1464-3529"
21," "," "," "," ","the residential location choice of the elderly in korea a multilevel logit model",NA,"JOUR","2016","Google Scholar","Journal of Rural Studies","44",NA,"261","271",NA,"0743-0167"
22," "," "," "," ","situational prevention in context of public procurement",NA,"JOUR","2022","Google Scholar","The Journal of Modern Research on Administrative Law","4","10","149","176",NA,"2717-0497"
23," "," "," "," ","criminology theories an analysis of livestock theft cases",NA,"JOUR","2015","Google Scholar","Acta Criminologica: African Journal of Criminology & Victimology","28","2","92","106",NA,"1012-8093"
24," "," "," "," ","measuring the influence of the built environment on crime at street segments",NA,"JOUR","2017","Google Scholar","Jerusalem Review of Legal Studies","15","1","44","54",NA,"2219-7125"
25," "," "," "," ","a case study of bicycle theft on the washington dc metrorail system using a routine activities and crime pattern theory framework",NA,"JOUR","2018","Google Scholar","Security Journal","31",NA,"226","246",NA,"0955-1662"
26," "," "," "," ","explaining and sustaining the crime drop clarifying the role of opportunityrelated theories",NA,"JOUR","2010","Google Scholar","Crime Prevention and Community Safety","12",NA,"24","41",NA,"1460-3780"
27," "," "," "," ","crime potential modelling a gis based method using weightsofevidence",NA,"DISS","2005","Google Scholar",NA,NA,NA,NA,NA,NA,NA
28," "," "," "," ","offender motivations and expectations of data in antiquities looting","Understanding offender motivation is key to developing effective crime reduction policies. Criminological theories seeking to explain offender motivations are plentiful—some argue for a pure utilitarian agenda driven by opportunity (rational choice), others for the influence of socially constructed standards of behavior (strain, learning), and still others argue for accounting for multiple layers of influence (crime pattern theory). Though these theories have been used to explain the presence of antiquities looting, few have sought to examine offender motivations specifically due to a lack of data. But what kind of data should those interested in offender motivations be looking for? How does this align with possible underlying theoretical motivations? This study speaks to these questions by first considering how criminological theoretical paradigms account for antiquities looter motivations. Then, it traces how to approach examining looting motivation by identifying the types of evidence and data needed to test theoretical predictions and which methodologies would be appropriate for such an analysis. Finally, this study demonstrates this approach using case study featuring a newly collected spatiotemporal dataset on antiquities looting in Egypt. Looking from 2015 to 2017, this study will determine what can be learned about possible offender motivations in Egypt at this time. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.","CHAP","2021","Google Scholar",NA,"1",NA,"241","265","10.1007/978-3-030-84856-9_15",NA
29," "," "," "," ","adolescent offenders current whereabouts predict locations of their future crimes","Knowing where crime is likely to happen can help prevent it. Here I investigate whether two basic mechanisms of human mobility-preferential return and spatial exploration-explain and predict where offenders commit future crimes. A sample of 843 adolescents reported their hourly whereabouts during four days. In line with findings from other sources and populations, their locations were concentrated and predictable. During the subsequent four years, 70 of the 843 were apprehended for committing one or more crimes. Compared to others, these 70 future offenders had visited slightly more different locations. However, their action radius and the predictability of their whereabouts had been very similar to those who would not become offenders. The offenders perpetrated most of their crimes around places they had visited before, including places where they previously offended. These findings show that the predictability of human mobility applies to offending and to offenders as well, and helps us understand and forecast where they will commit future crimes. They may prove particularly useful in criminal investigations, as they suggest that police should generally prioritize suspects who are familiar with the location of the crime and its environs, either because of their legal routine activities or because of their prior offences.","JOUR","2019","Google Scholar","PLoS One","14","1","e0210733",NA,"10.1371/journal.pone.0210733","1932-6203"
30," "," "," "," ","the conjunction of criminal opportunity theory",NA,"JOUR","2010","Google Scholar","Sage Encyclopedia of Victimology and Crime Prevention","1",NA,"139","146",NA,NA
31," "," "," "," ","residential location choice modeling accommodating sociodemographic school quality and accessibility effects",NA,"JOUR","2001","Google Scholar","University of Texas, Austin",NA,NA,NA,NA,NA,NA
32," "," "," "," ","household residential location choice in retirement the role of climate amenities",NA,"JOUR","2020","Google Scholar","Regional Science and Urban Economics","84",NA,"103489",NA,NA,"0166-0462"
33," "," "," "," ","book review breaking and entering burglars on burglary",NA,"JOUR","2005","Google Scholar","Criminal Justice Review","30","1","102","104",NA,"0734-0168"
34," "," "," "," ","tradeoffs in residential location decisions transportation versus other factors",NA,"JOUR","1980","Google Scholar","Transport Policy and Decision Making","1","1","13","26",NA,NA
35," "," "," "," ","offender mobility and crime first principies",NA,"JOUR","2008","Google Scholar",NA,NA,NA,NA,NA,NA,NA
36," "," "," "," ","spatiotemporal criminology b001777",NA,"JOUR",NA,"Google Scholar",NA,NA,NA,NA,NA,NA,NA
37," "," "," "," ","serial murderers spatial decisions factors that influence crime location choice brent snook and richard m cullen memorial university of newfoundland andreas mokros the university of regensburg",NA,"JOUR",NA,"Google Scholar",NA,NA,NA,NA,NA,NA,NA
38," "," "," "," ","testing indicators of risk populations for theft from the person across space and time the significance of mobility and outdoor activity","In recent years, it has increasingly been recognized that due to the uncertain geographic context problem caused by daily human mobility, the residential population is too static to serve as a valid measure of the population at risk for criminal victimization. Various alternative measures have been suggested instead. Guided by the routine activity approach, this study furthers the concept of crime risk population and its measurement across space and time. Using exceptionally comprehensive data sets on population mobility and on theft from the person in a large city in China, we select the best indicator of the risk population from the following four candidates: residential population, subway ridership, taxi ridership, and mobile phone users. Controlling for the potentially confounding effects of offender and guardian presence, we show that on both weekdays and weekends, the best indicators of risk population vary over the course of the day. In the morning, residential population outperforms other measures. In the afternoon and evening, taxi ridership and phone users are better indicators. Although the mobile phone user base forms an arguably more representative measure of ambient population, during some periods taxi ridership is superior because it provides a better indicator of outdoor (as opposed to indoor) activities. In terms of practical applications to security policy and law enforcement, these findings can help identify crime hot spots by calculating accurate crime risks.","JOUR","2018","Google Scholar","Annals of the American Association of Geographers","108","5","1370","1388","10.1080/24694452.2017.1414580","2469-4452"
39," "," "," "," ","power of criminal attractors modeling the pull of activity nodes",NA,"JOUR","2011","Google Scholar","Journal of Artificial Societies and Social Simulation","14","1","6","33",NA,"1460-7425"
40," "," "," "," ","the intention to move and residential location choice behaviour",NA,"JOUR","2005","Google Scholar","Urban studies","42","9","1621","1636",NA,"0042-0980"
41," "," "," "," ","sex offenders forensic awareness strategies to avoid police detection","In criminology, the rational choice perspective assumes that offenders decide whether or not to commit a crime by weighing the effort, rewards, and costs involved in alternative courses of action. One of the most important costs for offenders is to be identified and arrested by police. In order to avoid arrest, offenders have to rely on specific strategies. In sexual assaults, in addition to appropriate target selection, offenders must make sure to avoid police detection by protecting their identity and cleaning up or destroy forensic evidence that may be left at the crime scene and that can directly lead to their identification. This behavior is known as ‘forensic awareness’. Research on forensic awareness strategies during the crime-commission process is scant. A number of studies looking specifically at sexual crimes identified certain strategies related to forensic awareness. According to the rational choice perspective, the use of strategies to avoid police detection should have an impact on the crime solving by police. Few studies have investigated this issue and findings are quite unexpected. The aim of this chapter is to review some of the most important empirical knowledge on the use of forensic awareness strategies in sexual crimes. © Springer Nature Switzerland AG 2020.","JOUR","2020","Google Scholar","Science informed policing",NA,NA,"39","55","10.1007/978-3-030-41287-6_3","3030412865"
42," "," "," "," ","outbound offending the journey to crime and crime sprees","Studies on crime and mobility primarily focus on local crime patterns. The city has long played an important role, whether analysing the offence or the offender. This paper goes beyond city boundaries and discusses 'outbound offenders', whose crime trips start in a city, but end outside. It is argued that a substantial proportion of crime trips follow this pattern, indicating that areas other than cities also provide interesting opportunities for property crime. We link outbound offending to a number of features that may explain crime travelling, including the target's features and offender/offence features. We find that outbound offending mostly occurs towards affluent target regions and near motorways, as such confirming findings from previous research. We also find crime sprees to be indicative for mobile offending. Thus, mobile property offenders tend to compensate for travelled distances, not only by targeting affluent areas and using fast transportation means, but also by committing several successive offences, hereby reducing their relative transportation cost for each offence. (C) 2010 Elsevier Ltd. All rights reserved.","JOUR","2011","Google Scholar","Journal of environmental psychology","31","1","70","78","10.1016/j.jenvp.2010.09.002","0272-4944"
43," "," "," "," ","theoretical concepts of crime and practices in urban planning and design process for safe urban life",NA,"JOUR","2018","Google Scholar","International Journal of Building, Urban, Interior and Landscape Technology (BUILT)","12",NA,"7","24",NA,"2228-9194"
44," "," "," "," ","residential location choice a study of household preferences for the city of nagpur",NA,"JOUR","2010","Google Scholar","Inst. Town Plan. India J","7",NA,"1","19",NA,NA
45," "," "," "," ","offender and victim journeytocrime motivational differences among stranger rapists",NA,"JOUR","2020","Google Scholar","Journal of Criminal Justice","69",NA,"101707",NA,NA,"0047-2352"
46," "," "," "," ","does the association between flows of people and crime differ across crime types in sweden",NA,"JOUR","2021","Google Scholar","European Journal on Criminal Policy and Research","27","3","433","449",NA,"0928-1371"
47," "," "," "," ","23 crime pattern analysis",NA,"JOUR","2010","Google Scholar","The Cambridge Handbook of Forensic Psychology",NA,NA,"159",NA,NA,"1139489453"
48," "," "," "," ","environment routine and situation toward a pattern theory of crime",NA,"CHAP","2017","Google Scholar",NA,NA,NA,"259","294",NA,NA
49," "," "," "," ","crime pattern analysis spatial targeting and gis the development of new approaches for use in evaluating community safety initiatives",NA,"CHAP","2001","Google Scholar",NA,NA,NA,"323","342",NA,NA
50," "," "," "," ","spatial characteristics of serial sexual assault in new zealand","This study examines the crime patterns of New Zealand serial sexual I assaulters in order to determine the extent to which such offenders display spatial behaviour in line with their overseas counterparts. Hypotheses concerning journey to crime, criminal range and spatial pattern were tested. Geographical information on 76 serial offenders was extracted from police files and mapped. A series of spatial analyses were conducted in order to examine the spatial mobility of the offenders. It was found that, in line with much overseas research, offenders typically did not travel very far to offend (a median of 3 km) and operated over identifiable criminal ranges. However, in contrast to much overseas research into serial spatial patterns. New Zealand offenders were characterised by transience and commuting patterns of behaviour rather than a predominant marauder style. The implications of these findings for geographic profiling are discussed.","JOUR","2006","Google Scholar","Australian & New Zealand Journal of Criminology","39","2","218","231","10.1375/acri.39.2.218","0004-8658"
51," "," "," "," ","relative difference and burglary location can ecological characteristics of a burglars home neighborhood predict offense location",NA,"JOUR","2016","Google Scholar","Journal of Research in Crime and Delinquency","53","6","872","906",NA,"0022-4278"
52," "," "," "," ","exploring regional variability in the shortterm impact of covid19 on property crime in queensland australia",NA,"JOUR","2021","Google Scholar","Crime science","10",NA,"1","20",NA,NA
53," "," "," "," ","anybody home",NA,"JOUR",NA,"Google Scholar",NA,NA,NA,NA,NA,NA,NA
54," "," "," "," ","environmental criminology and crime analysis situating the theory analytic approach and application",NA,"CHAP","2016","Google Scholar",NA,NA,NA,"20","45",NA,NA
55," "," "," "," ","blocklevel analysis of the attractors of robbery in a downtown area","This article examines the predictions of crime pattern theory in a unique neighborhood type. It tested potential crime attracting facilities against street robbery data from 2009 to 2013 in the Police Districts I & II in Downtown Houston. The analysis modeled the four daily human routine periods described in the American Time Use Survey (ATUS). Generalized linear simultaneous negative binomial regression model was used to determine the size of the influence of the variables (beta coefficients) and their significance for each model outcome. The findings show some distinct patterns of street robbery due to the immediate and lagged effects of the variables relatable to the study environment’s unique setting. Two variables, geographic mobility, and barbershops were particularly significant across three of the outcome models. The results suggest that the physical and social structure of neighborhoods determined by land-use regulations would enhance understanding of the time-based influence on robbery patterns due to crime-attracting facilities. © The Author(s) 2020.","JOUR","2020","Google Scholar","Sage Open","10","4","2158244020963671",NA,"10.1177/2158244020963671","2158-2440"
56," "," "," "," ","explaining offenders longitudinal productspecific target selection through changes in disposability availability and value an opensource intelligence webscraping approach",NA,"JOUR","2022","Google Scholar","Crime Science","11","1","2",NA,NA,"2193-7680"
57," "," "," "," ","testing theories of criminal location choice an application of random utility maximization theory to burglary",NA,"JOUR","2002","Google Scholar",NA,NA,NA,NA,NA,NA,NA
58," "," "," "," ","integrated analysis of crime incidents within a loosecoupled gisbased system case of etlik police station zone in 2000",NA,"JOUR","2010","Google Scholar","Gazi University Journal of Science","23","4","531","549",NA,"2147-1762"
59," "," "," "," ","what influences the location choice of establishments an analysis considering establishment types and activities interactions",NA,"JOUR","2023","Google Scholar","Journal of Transport Geography","111",NA,"103667",NA,NA,"0966-6923"
60," "," "," "," ","the role of geography and time in property crime",NA,"CHAP","2020","Google Scholar",NA,NA,NA,"95","114",NA,NA
61," "," "," "," ","nodes guardians and signs raising barriers to human trafficking in the tourism industry",NA,"JOUR","2018","Google Scholar","Tourism Management","67",NA,"147","156",NA,"0261-5177"
62," "," "," "," ","property crime in the city and county of san francisco 20162017 applying gis to crime pattern theory",NA,"GEN","2019","Google Scholar",NA,NA,NA,NA,NA,NA,NA
63," "," "," "," ","and delinquency",NA,"JOUR","2014","Google Scholar",NA,NA,NA,NA,NA,NA,NA
64," "," "," "," ","an agentbased approach towards crime prediction evaluating the potential of environmental factors and human",NA,"JOUR",NA,"Google Scholar",NA,NA,NA,NA,NA,NA,NA
65," "," "," "," ","spatial pattern of burglary in residential neighbourhoods a case study of abuja nigeria",NA,"JOUR","2024","Google Scholar","Journal of Facilities Management","22","4","609","625",NA,"1472-5967"
66," "," "," "," ","take the car keys away metropolitan structure and the long road to delinquency","Purpose: This research fulfills a void in offender mobility discourse. Metropolitan socioeconomic and spatial structure, defined in crime pattern theory as the urban backcloth, plays a significant role in shaping travel behavior; and yet, current analysis of offender mobility continues to favor individual characteristics to account for travel range. Methods: Using a large sample of juveniles, both delinquent and at-risk youth (N=2,552), this study compared the predictive utility of individual characteristics against indicators of urban backcloth. Results: Delinquent youth were found to be more sensitive to the environmental conditions exerted by community-level socioeconomic characteristics than their at-risk counterparts. However, two factors-intercity hierarchical structure and motor vehicle access-accounted for travel variability among all youth. Conclusions: Offending behavior must be examined within the context of a dynamic environmental context formed by the metropolitan socioeconomic and spatial structure. Delinquents constitute an identifiable subgroup of youth. (C) 2011 Elsevier Ltd. All rights reserved.","JOUR","2012","Google Scholar","Journal of Criminal Justice","40","1","83","93","10.1016/j.jcrimjus.2011.12.002","0047-2352"
67," "," "," "," ","topic 91 mobility triangles",NA,"JOUR","2023","Google Scholar","Understanding Crime and Place: A Methods Handbook",NA,NA,"263",NA,NA,"1439920672"
68," "," "," "," ","burglar decision making and target selection an assesment of residential vulnerability to burglary an assesment of residential vulnerability to burglary",NA,"JOUR","2006","Google Scholar","경찰학연구","6","2","154","194",NA,"1598-3714"
69," "," "," "," ","compact development and preference heterogeneity in residential location choice behaviour a latent class analysis",NA,"JOUR","2015","Google Scholar","Urban studies","52","2","314","337",NA,"0042-0980"
70," "," "," "," ","the foraging perspective in criminology a review of research literature",NA,"JOUR","2023","Google Scholar","European Journal of Criminology","20","2","626","652",NA,"1477-3708"
71," "," "," "," ","housing location choice residential mobility and satisfaction",NA,"JOUR",NA,"Google Scholar",NA,NA,NA,NA,NA,NA,NA
72," "," "," "," ","criminal mobility and criminal achievement","This study examines the impact of criminal mobility on criminal earning patterns in a sample of incarcerated offenders who reported their criminal experiences over a three-year period. Criminal mobility is indicated by an individual's offending perimeter and not the traditional journey-to-crime measure. Findings reveal that the offending perimeter length is a factor of criminal achievement in that mobile offenders reported higher financial earnings from crime than immobile offenders. Greater distances traveled for crime were also generally associated with higher criminal earnings, but this was more salient for predatory offenders than market offenders. © 2008 Sage Publications.","Scholarly Journals","2008","Google Scholar","The Journal of Research in Crime and Delinquency","45","1","4","21","https://doi.org/10.1177/0022427807309630","0022-4278"
73," "," "," "," ","a comprehensive business location choice model leveraging machine learning in systematic choice set",NA,"JOUR","2024","Google Scholar","Transportation Research Record",NA,NA,"03611981241253609",NA,NA,"0361-1981"
74," "," "," "," ","location choice visvis transportation apartment dwellers",NA,"JOUR","2006","Google Scholar","Transportation Research Record","1977","1","93","102",NA,"0361-1981"
75," "," "," "," ","factor analytic approach to incorporating systematic taste variation into models of residential location choice",NA,"JOUR","1998","Google Scholar","Transportation Research Record","1617","1","194","202",NA,"0361-1981"
76," "," "," "," ","enduring individual differences and rational choice theories of crime",NA,"JOUR","1993","Google Scholar","Law & Society Review","27","3","467","496",NA,"0023-9216"
77," "," "," "," ","editors introduction",NA,"CHAP","2017","Google Scholar",NA,NA,NA,"1","9",NA,NA
78," "," "," "," ","examining the impact of mobility reduction and facility closure during covid19 on crime",NA,"DISS","2024","Google Scholar",NA,NA,NA,NA,NA,NA,NA
79," "," "," "," ","cooffending and the choice of target areas in burglary",NA,"JOUR","2006","Google Scholar","Journal of Investigative Psychology and Offender Profiling","3","3","139","155",NA,"1544-4759"
80," "," "," "," ","rationally irrational the case of sexual burglary",NA,"JOUR","2015","Google Scholar","Sexual Abuse","27","4","376","397",NA,"1079-0632"
81," "," "," "," ","rational choice routine activity and situational crime prevention",NA,"CHAP","2022","Google Scholar",NA,NA,NA,"46","49",NA,"1529222036"
82," "," "," "," ","effects of residential history on commercial robbers crime location choices",NA,"JOUR","2010","Google Scholar","European Journal of Criminology","7","4","251","265",NA,"1477-3708"
83," "," "," "," ","a synthesis of non compliance theories with applications to smallscale fisheries research and practice",NA,"JOUR","2020","Google Scholar","Fish and Fisheries","21","6","1120","1134",NA,"1467-2960"
84," "," "," "," ","breaking and entering an ethnographic analysis of burglary by paul f cromwell james n olson and daunn wester avary book review",NA,"JOUR","1991","Google Scholar","Social Forces","70","2","538",NA,NA,"0037-7732"
85," "," "," "," ","crosscultural analysis of perceptions of environmental characteristics in the target selection process for residential burglary",NA,"JOUR","2008","Google Scholar","Crime Prevention and Community Safety","10",NA,"19","35",NA,"1460-3780"
86," "," "," "," ","modifiable areal units problem or perception in modeling of residential location choice",NA,"JOUR","2004","Google Scholar","Transportation Research Record","1898","1","138","147",NA,"0361-1981"
87," "," "," "," ","spatiotemporal analysis of urban crime pattern and its implication for abuja municipal area council nigeria",NA,"JOUR","2017","Google Scholar","The Indonesian Journal of Geography","49","2","145","154",NA,"0024-9521"
88," "," "," "," ","agentbased modelling and crime in leeds",NA,"JOUR","2007","Google Scholar","School of Geography, University of Leeds",NA,NA,NA,NA,NA,NA
89," "," "," "," ","topic 93 discrete spatial choice models",NA,"JOUR","2023","Google Scholar","Understanding Crime and Place: A Methods Handbook",NA,NA,"275",NA,NA,"1439920672"
90," "," "," "," ","catch and release predicting encounter and victim release location choice in serial rape",NA,"JOUR","2012","Google Scholar",NA,NA,NA,NA,NA,NA,NA
91," "," "," "," ","assessing the influence of prior on subsequent street robbery location choices a case study in zg city china",NA,"JOUR","2018","Google Scholar","Sustainability","10","6","1818",NA,NA,"2071-1050"
92," "," "," "," ","introduction criminology routine activity and rational choice",NA,"CHAP","2017","Google Scholar",NA,NA,NA,"1","14",NA,NA
93," "," "," "," ","discrete spatial choice models supplementary materials",NA,"JOUR",NA,"Google Scholar",NA,NA,NA,NA,NA,NA,NA
94," "," "," "," ","choice set pruning in residential location choice modelling a comparison of sampling and choice set generation approaches in greater london",NA,"JOUR","2012","Google Scholar","Transportation Planning and Technology","35","1","87","106",NA,"0308-1060"
95," "," "," "," ","this is great but watch out the effect of risk and reward implications on target selection on a hacker forum",NA,"JOUR","2023","Google Scholar",NA,NA,NA,NA,NA,NA,NA
96," "," "," "," ","abstract a rational choice theory approach was used to analyze the offense behavior of serial sex offenders qualitative data were obtained through the descriptions of the crimes provided by 69 serial sex offenders who were incarcerated in a correctional",NA,"JOUR","2017","Google Scholar","Crime Opportunity Theories: Routine Activity, Rational Choice and their Variants",NA,NA,NA,NA,NA,"1351570692"
97," "," "," "," ","exploring and understanding differences between deliberate and impulsive male and female burglars","Relying on rational choice theory, we compare burglars’ varying levels of offense planning to understand differences among types of burglars. Surveys were collected from a sample of incarcerated male and female burglars in three states. Participants answered questions detailing aspects of a burglary including motivations, target selection, deterrents, and techniques. Comparisons were made between 119 deliberate (32%) and 257 impulsive (68%) burglars. Deliberate burglars focused on obtaining cash, whereas impulsive burglars were more motivated by drug habits. Impulsive burglars were more easily dissuaded from a target when multiple obstacles are present. Burglars consider how many obstacles they may have to overcome, providing support for rational choice-based, situational crime prevention efforts. Differences in burglar motivation emerged and are discussed. © 2016, © The Author(s) 2016.","Scholarly Journals","2017","Google Scholar","Crime and Delinquency","63","12","1547","1571","https://doi.org/10.1177/0011128716660519","0011-1287"
