"","select_reject_by (Wim/Christophe)","select_reject_by (Kural)","notes","title","abstract","year","authors","source_title","volume","issue","pages","doi","source","notes (Wim/Christophe)","notes kural"
"11"," "," "," ","security theatrics the role of visual cues in simulated attacker target selection","visibly deterring potential adversaries is central to security risk assessment and planning operations within many agencies including the transportation security administration (tsa). many visible security elements are employed by tsa toward these goals. questions remain whether these elements deter/displace attackers, and answers are elusive in these data-poor contexts. using a novel adversarial exercise with a national sample, our paired conjoint experiment across visibly-changing aviation environments finds the majority of tested security infrastructure visibly deterred simulated adversaries. canine officer presence deterred, biometric scanners induced, and queue density had no appreciable effect upon target selection. our findings offer useful criminological insights, clear policy applications, and novel quantitative methods for assessing visible deterrent processes in limited data environments.","2024","behlendorf, b; wilson, t","crime & delinquency",NA,NA,NA,"10.1177/00111287241271188","WOS"," "," "
"12"," "," "," ","role of the street network in burglars spatial decision making","explaining why crime is spatially concentrated has been a central theme of much criminological research. although various theories focus on neighborhood social processes, environmental criminology asserts that the physical environment plays a central role by shaping people's activity patterns and the opportunities for crime. here, we test theoretical expectations regarding the role of the road network in shaping the spatial distribution of crime and, in contrast to prior research, disentangle how it might influence offender awareness of criminal opportunities and the supply of ambient guardianship. with a mixed logit (discrete choice) model, we use data regarding (n = 459) residential burglaries (for the first time) to model offender spatial decision-making at the street segment level. novel graph theory metrics are developed to estimate offender awareness of street segments and to estimate levels of ambient guardianship, distinguishing between local and nonlocal guardianship. as predicted by crime pattern theory, novel metrics concerning offender familiarity and effort were significant predictors of residential burglary location choices. and, in line with newman's (1972) concept of defensible space, nonlocal (local) pedestrian traffic was found to be associated with an increase (decrease) in burglary risk. our findings also demonstrate that taste preferences vary across offenders, which presents a challenge for future research to explain.","2017","frith, mj; johnson, sd; fry, hm","criminology","55","2","344-376","10.1111/1745-9125.12133","WOS"," "," "
"13"," "," "," ","the usefulness of past crime data as an attractiveness index for residential burglars","this study examines the effects of neighbourhood attractiveness on the residential burglar's crime location choice process using a discrete choice model. we show that past crime data are an important index of a neighbourhood's attractiveness and can be combined with other attractiveness indices adapted from previous studies. we used data from 369 solved cases committed by 70 offenders and related these data to 1,134 areas (500m grid cells) in sendai city, japan. the results showed that residential burglars were attracted to the following potential locations for crimes: (a) areas in proximity to his or her own residence; (b) areas having many or at least a higher proportion of residential burglaries in the past; (c) areas having many residential units; and (d) areas having a higher proportion of single-family dwellings. the results confirm the validity of past crime data as an index of a neighbourhood's attractiveness for residential burglary.","2018","hanayama, a; haginoya, s; kuraishi, h; kobayashi, m","journal of investigative psychology and offender profiling","15","3","257-270","10.1002/jip.1507","WOS"," "," "
"14"," "," "," ","burglar target selection a cross national comparison","objectives: this study builds on research undertaken by bernasco and nieuwbeerta and explores the generalizability of a theoretically derived offender target selection model in three cross-national study regions. methods: taking a discrete spatial choice approach, we estimate the impact of both environment- and offender-level factors on residential burglary placement in the netherlands, the united kingdom, and australia. combining cleared burglary data from all study regions in a single statistical model, we make statistical comparisons between environments. results: in all three study regions, the likelihood an offender selects an area for burglary is positively influenced by proximity to their home, the proportion of easily accessible targets, and the total number of targets available. furthermore, in two of the three study regions, juvenile offenders under the legal driving age are significantly more influenced by target proximity than adult offenders. post hoc tests indicate the magnitudes of these impacts vary significantly between study regions. conclusions: while burglary target selection strategies are consistent with opportunity-based explanations of offending, the impact of environmental context is significant. as such, the approach undertaken in combining observations from multiple study regions may aid criminology scholars in assessing the generalizability of observed findings across multiple environments.","2015","townsley, m; birks, d; bernasco, w; ruiter, s; johnson, sd; white, g; baum, s","journal of research in crime and delinquency","52","1","3-31","10.1177/0022427814541447","WOS"," "," "
"15"," "," "," ","modelling the spatial decision making of terrorists the discrete choice approach","this is the first study to apply a discrete choice model to understand terrorist spatial decision making. the findings support the proposition that terrorists make decisions that are guided by rationality and act in a similar way to urban criminals. a conditional logistic regression ascertained which characteristics increased the likelihood that an area would be selected as a target, using a dataset of attacks carried out by the provisional irish republican army in belfast over a twenty-year period. an increase in distance from the terrorises home to the attack site decreased the likelihood that an area would be chosen and an area was more likely to be chosen if it contained a major road, police station or military base.","2019","marchment, z; gill, p","applied geography","104",NA,"21-31","10.1016/j.apgeog.2019.01.009","WOS"," "," "
"16"," "," "," ","family matters effects of family members residential areas on crime location choice","according to crime pattern theory, offenders are likely to select crime locations within their awareness space. previous studies have shown that offenders often commit crimes within their current and former residential areas and in areas they previously targeted. however, offenders' awareness spaces obviously consist of more locations that potentially influence their crime location choices. this study examines the importance of the residential areas of offenders' family members. most offenders visit their families at least occasionally and consequently get familiar with the areas in which their families live. it is hypothesized that family members' residential areas are at increased risk of being targeted. unique data were used to reconstruct residential histories of the parents, siblings, and children of 7,910 offenders who committed 19,420 offenses. the results of discrete spatial choice models showed that residential areas of family members are indeed at increased risk of being targeted. current familial residential areas had stronger and more consistent effects than had former familial residential areas. effects were strongest for the residential areas of offenders' children compared with those of their parents and siblings. the residential areas of male and female family members affected the crime location choices of male and female offenders equally.","2016","menting, b; lammers, m; ruiter, s; bernasco, w","criminology","54","3","413-433","10.1111/1745-9125.12109","WOS"," "," "
"17"," "," "," ","location choice of snatching offenders in chennai city","objectives we aim to test the applicability of crime pattern theory in an indian urban context by assessing the effects of offender residence, prior offending locations and presence of crime generators and crime attractors on where offenders commit offences. methods the data comprise 1573 police-recorded snatching offenses committed by 1152 identified offenders across the 201 wards of chennai city. we used discrete crime location choice models to establish the choice criteria that snatching offenders use when they decide where to offend. data on the locations retail businesses, religious and transportation facilities were collected using google location services. results the results confirm that snatching offenders prefer to target locations closer to their residence and that they prefer to re-offend at or near their prior offending locations. the findings also demonstrate that some but not all crime attractors and generators influence the location choice of snatching offenders. conclusions by replicating in an indian context previously published crime location choice findings, our findings support the generality of crime pattern theory. we discuss limitations and make suggestions for future investigations.","2022","kuralarasan, k; bernasco, w","journal of quantitative criminology","38","3","673-696","10.1007/s10940-021-09514-9","WOS"," "," "
"18"," "," "," ","graffiti writers choose locations that optimize exposure","we investigate the spatial decision-making of graffiti writers when selecting target locations, examining how street segment characteristics influence exposure. extending the rational choice perspective to expressive offending, we collected data through systematic social observation in ghent's city center in november 2017, covering 12,655 graffiti instances across 2,233 street segments. the sso involved counting graffiti items and public facilities likely to attract crowds, and measuring street network centrality. conditional logit models assessed the impact of these characteristics on graffiti location choices. results show that street network centrality and the presence of bars, night shops, residential units, and schools significantly increased graffiti writers' preferences. our findings suggest that graffiti writers aim to maximize exposure, highlighting the rational choice perspective's relevance for expressive offending.","2024","kuralarasan, k; bernasco, w; vandeviver, c","crime & delinquency",NA,NA,NA,"10.1177/00111287241287133","WOS"," "," "
"19"," "," "," ","serendipity in robbery target selection","drawing from interviews with active robbers (drug robbers and carjackers), this paper explores the role of serendipity in the robbery target selection process. serendipity is defined as the art of finding something valuable while engrossed in something different (roberts 1989). the discovery is unanticipated, unexpected and anomalous (merton and barber 2006) and may result from decidedly negative experiences. the extent to which robbery targets emerge through 'pure' serendipity or a more 'manufactured' variety sheds light on the conceptual interface between perception, need, opportunity and rational choice.","2010","jacobs, ba","british journal of criminology","50","3","514-529","10.1093/bjc/azq002","WOS"," "," "
"20"," "," "," ","do street robbery location choices vary over time of day or day of week a test in chicago","objectives: this article examines the hypothesis that in street robbery location choices, the importance of location attributes is conditional on the time of day and on the day of the week. method: the hypothesis is assessed by estimating and comparing separate discrete location choice models for each two-hour time block of the day and for each day of the week. the spatial units of analysis are census blocks. their relevant attributes include presence of various legal and illegal cash economies, presence of high schools, measures of accessibility, and distance from the offender's home. results: the hypothesis is strongly rejected because for almost all census block attributes, their importance hardly depends on time of day or day of week. only the effect of high schools in census blocks follows expectations, as its effect is only demonstrated at the times and on the days that schools are open. conclusions: the results suggest that street robbers' location choices are not as strongly driven by spatial variations in immediate opportunities as has been suggested in previous studies. rather, street robbers seem to perpetrate in the environs of cash economies and transit hubs most of the time irrespective of how many potential victims are around.","2017","bernasco, w; ruiter, s; block, r","journal of research in crime and delinquency","54","2","244-275","10.1177/0022427816680681","WOS"," "," "
"21"," "," "," ","learning where to offend effects of past on future burglary locations","informed by a growing literature on space-time patterns of repeat and near repeat burglary victimization, a crime location choice model was used to test whether burglars are attracted to areas they previously targeted. using data in 3337 detected burglaries from one uk police force, and accounting for the distance to the offender's residence, and for other factors that make target areas attractive to burglars, it was demonstrated that burglars were more likely to commit a burglary in an area they had targeted before. this was particularly the case if the prior burglary was (very) recent. areas near to those in which burglaries had been committed were also more likely to be selected. (c) 2015 elsevier ltd. all rights reserved.","2015","bernasco, w; johnson, sd; ruiter, s","applied geography","60",NA,"120-129","10.1016/j.apgeog.2015.03.014","WOS"," "," "
"22"," "," "," ","target selection in rapists the role of environmental and contextual factors","research on sex offenders has consistently emphasized the role of personal factors, while neglecting to consider the role of environmental and situational factors. the environmental perspective is primarily interested in crime, of which the offender is only one element, and the analysis begins with the location of the crimes, aiming at sorting out patterns in where, when and how crimes occur. over the past few years there has been an increase in research on rapists' modus operandi, geographic decision-making, and target selection. this article aims at providing a comprehensive review of the work that has been done in the field of rapists' target selection and hunting behavior, from an environmental standpoint. after a brief introduction and review of the theoretical models in environmental criminology, empirical studies are presented that investigate the geography of sex offending, offenders' hunting behavior and hunting process, geographic decision-making in target selection, and the influence of routine activities and offender type in target selection. (c) 2013 elsevier ltd. all rights reserved.","2014","rebocho, mf; silva, p","aggression and violent behavior","19","1","42-49","10.1016/j.avb.2013.12.003","WOS"," "," "
"23"," "," "," ","a decision model for spatial site selection by criminals a foundation for law enforcement decision support","crime analysis uses past crime data to predict future crime locations and times. typically this analysis relies on hot spot models that show clusters of criminal events based on past locations of these events. it does not consider the decision making processes of criminals as human initiated events susceptible to analysis using spatial choice models. this paper analyzes criminal incidents as spatial choice processes. spatial choice analysis can be used to discover the distribution of people's behaviors in space and time. two adjusted spatial choice models that include models of decision making processes are presented. the comparison results show that adjusted spatial choice models provide efficient and accurate predictions of future crime patterns and can be used as the basis for a law enforcement decision support system. this paper also extends spatial choice modeling to include the class of problems where the decision makers' preferences are derived indirectly through incident reports rather than directly through survey instruments.","2003","xue, wf; brown, de","ieee transactions on systems man and cybernetics part c-applications and reviews","33","1","78-85","10.1109/tsmcc.2003.809867","WOS"," "," "
"24"," "," "," ","a time for a crime temporal aspects of repeat offenders crime location choices","objectives: this article examines to what extent repeat offenders' crime location choices are conditional on the timing of the offenses within the week and within the day. extending crime pattern theory, we argue that offenders acquire time-specific rather than general knowledge of their environment. we hypothesize that offenders are more likely to offend in previously targeted areas at similar than at different days and times. methods: data on 12,639 offenses committed by 3,666 repeat offenders in the netherlands are analyzed using discrete spatial choice models. results: offenders are most likely to offend in areas they already targeted before at similar parts of the week and similar times of the day, especially when the previous offense was committed on exactly the same weekend day or weekday and at the same hour of day. offenders are less likely to return to previously targeted areas at different times of the week and day, and least likely to offend in areas they never targeted before. the effects were stronger for the same than for different types of crime. conclusions: assessing cyclic time patterns in crime location choice not only enhances our understanding of spatial criminal decision-making, but could also improve predictive policing methods.","2018","van sleeuwen, sem; ruiter, s; menting, b","journal of research in crime and delinquency","55","4","538-568","10.1177/0022427818766395","WOS"," "," "
"25"," "," "," ","testing ecological theories of offender spatial decision making using a discrete choice model","research demonstrates that crime is spatially concentrated. however, most research relies on information about where crimes occur, without reference to where offenders reside. this study examines how the characteristics of neighborhoods and their proximity to offender home locations affect offender spatial decision making. using a discrete choice model and data for detected incidents of theft from vehicles (tfv), we test predictions from two theoretical perspectives-crime pattern and social disorganization theories. we demonstrate that offenders favor areas that are low in social cohesion and closer to their home, or other age-related activity nodes. for adult offenders, choices also appear to be influenced by how accessible a neighborhood is via the street network. the implications for criminological theory and crime prevention are discussed.","2015","johnson, sd; summers, l","crime & delinquency","61","3","454-480","10.1177/0011128714540276","WOS"," "," "
"26"," "," "," ","an empirical study on the terrorists target selection the turkish case","employing a quantitative technique on a large sample size (n=4996), this study aimed to understand spatial and temporal distribution of terrorist incidents in istanbul, turkey by a specific focus on targets. rational choice, crime pattern, social disorganization, and routine activity theories covered the theoretical background. a number of determinants of terrorist incidents were tested on terrorists' target selection. week days, type of offences, and type of terrorist organizations were found to have an important impact on target selection. some terrorist groups, several types of offences and weekend days were found to be determinative on specific targets. theories that were used to examine the relationship between target selection and other variables were statistically supported. in this regard, current study not only made an invaluable contribution to discussed theories in general, but also offered some practical solutions for law enforcement and public administration agencies.","2011","sahin, b; ekici, n","multi-faceted approach to radicalization in terrorist organizations","87",NA,"175-188","10.3233/978-1-60750-824-3-175","WOS"," "," "
"27"," "," "," ","victims routine activities and sex offenders target selection scripts a latent class analysis","this study investigates target selection scripts of 72 serial sex offenders who have committed a total of 361 sex crimes on stranger victims. using latent class analysis, three target selection scripts were identified based on the victim's activities prior to the crime, each presenting two different tracks: (1) the home script, which includes the (a) intrusion track and the (b) invited track, (2) the outdoor script, which includes the (a) noncoercive track and the (b) coercive track, and (3) the social script, which includes the (a) onsite track and the (b) off-site track. the scripts identified appeared to be used by both sexual aggressors of children and sexual aggressors of adults. in addition, a high proportion of crime switching was found among the identified scripts, with half of the 72 offenders switching scripts at least once. the theoretical relevance of these target selection scripts and their practical implications for situational crime prevention strategies are discussed.","2010","deslauriers-varin, n; beauregard, e","sexual abuse-a journal of research and treatment","22","3","315-342","10.1177/1079063210375975","WOS"," "," "
"28"," "," "," ","biting once twice the influence of prior on subsequent crime location choice","properties, victims, and locations previously targeted by offenders have an increased risk of being targeted again within a short time period. it has been suggested that often the same offenders are involved in these repeated events and, thus, that offenders' prior crime location choices influence their subsequent crime location choices. this article examines repeated crime location choices, testing the hypothesis that offenders are more likely to commit a crime in an area they previously targeted than in areas they did not target before. unique data from four different data sources are used to study the crime location choices of 3,666 offenders who committed 12,639 offenses. the results indicate that prior crime locations strongly influence subsequent crime location choices. the effects of prior crime locations are larger if the crimes are frequent, if they are recent, if they are nearby, and if they are the same type of crime.","2015","lammers, m; menting, b; ruiter, s; bernasco, a","criminology","53","3","309-329","10.1111/1745-9125.12071","WOS"," "," "
"29"," "," "," ","patience and crime","objectives: we identify the distinction between patience and self-control to improve specification of time preferences in offender decision-making. methods: data were drawn from in-depth qualitative interviews with 35 active auto thieves with high criminal propensity and focus on target selection. results: patience oscillates upward and downward, showing state instability among those with low trait self-control. conclusions: discussion focuses on the conceptual processes that mediate patience's variation in offender decision-making, but especially among high-propensity offenders. the larger criminological significance of patience is discussed.","2021","jacobs, ba; cherbonneau, m","journal of research in crime and delinquency","58","4","383-419","10.1177/0022427820974427","WOS"," "," "
"30"," "," "," ","how do residential burglars select target areas a new approach to the analysis of criminal location choice","this paper introduces the discrete spatial choice approach to the study of criminal target choice. the approach is used to assess whether residential burglars are attracted to target areas that are affluent, accessible, and poorly guarded. in addition, the importance of these criteria is postulated to vary across burglars. the theory is tested using data on 548 residential burglaries, committed by 290 burglars from the city of the hague, the netherlands. the likelihood of a neighbourhood's being selected for burglary is heightened by its ethnic heterogeneity, its percentage of single-family dwellings, and its proximity to where the offender lives. the results and prospects of the discrete spatial choice approach for spatial target selection research are discussed.","2005","bernasco, w; nieuwbeerta, p","british journal of criminology","45","3","296-315","10.1093/bjc/azh070","WOS"," "," "
"31"," "," "," ","do migrant and native robbers target different places","the spatial pattern of crime has been a central theme of criminological research. recently, the spatial variation in the crime location choice of offenders by different population groups has been gaining more attention. this study addresses the issue of whether the spatial distribution of migrant robbers' crime location choices is different from those of native robbers. further, what factors contribute to such differences? using a kernel density estimation and the discrete spatial choice modeling, we combine the offender data, poi data, and mobile phone data to explain the crime location choice of the street robbers who committed offenses and were arrested from 2012 to 2016 in zg city, china. the results demonstrate that the crime location choices between migrant robbers and native robbers have obvious spatial differences. migrant robbers tend to choose the labor-intensive industrial cluster, while native robbers prefer the old urban areas and urban villages. wholesale markets, sports stadiums, transportation hubs, and subway stations only affect migrant robbers' crime location choices, but not native robbers'. these results may be attributable to the different spatial awareness between migrant robbers and native robbers. the implications of the findings for criminological theory and crime prevention are discussed.","2021","long, dp; liu, l","isprs international journal of geo-information","10","11",NA,"10.3390/ijgi10110771","WOS"," "," "
"32"," "," "," ","burglars blocked by barriers the impact of physical and social barriers on residential burglars target location choices in china","based on an offender spatial decision-making perspective, this burglary target location choice study aims to understand how physical and social barriers affect why residential burglars commit their crimes at particular locations in a major chinese city. using data on 3860 residential burglaries committed by 3772 burglars between january 2012 and june 2016 in zg city, china, conditional logit (discrete choice) models were estimated to assess residential burglars' target location choice preferences. three types of physical barriers were distinguished: major roads with access control, major roads without access control, and major rivers. social barriers were constructed based on the hukou system to reflect how local and nonlocal residents live segregated lives. results show that residential burglars are less likely to target areas for which they have to cross a physical barrier and even less likely to do so if they have to cross multiple rivers. local burglars are more likely to target communities with a majority of local residents than communities with a majority nonlocal population or a mixed community. such a social barrier was less pronounced for nonlocal burglars. these findings add new insight that physical and social barriers affect, to various degrees, where residential burglars in china commit their crimes.","2021","xiao, lz; ruiter, s; liu, l; song, gw; zhou, sh","computers environment and urban systems","86",NA,NA,"10.1016/j.compenvurbsys.2020.101582","WOS"," "," "
"33"," "," "," ","measuring the perception of insecurity in low income areas","urban safety has become a key issue for life in the city. a strategy that may positively affect quality of life is the urban design of public spaces; however, previous efforts have not been based on hard data, hampering a serious evaluation of alternative solutions. this work discusses the methodology and primary results of a study geared to quantify the perception of safety in low income areas, and bow this is affected by the spatial arrangement of neighborhoods. we are interested in quantifying the effect of spatial variables regarding the feelings of fear associated with the use of public space, with the objective to evaluate policies to improve security based on bard data rather than unproven speculation. we designed and implemented a stated preference survey to measure the relative perceptions of insecurity experienced by residents traveling through specific neighborhoods in santiago. the relative importance of each variable was determined using flexible discrete choice models. results suggest that the proposed approach could become an efficient technique for the evaluation of urban safety policies.","2006","sillano, m; greene, m; ortúzar, jd","eure-revista latinoamericana de estudios urbano regionales","32","97","17-35",NA,"WOS"," "," "
"34"," "," "," ","exploring and understanding differences between deliberate and impulsive male and female burglars","relying on rational choice theory, we compare burglars' varying levels of offense planning to understand differences among types of burglars. surveys were collected from a sample of incarcerated male and female burglars in three states. participants answered questions detailing aspects of a burglary including motivations, target selection, deterrents, and techniques. comparisons were made between 119 deliberate (32%) and 257 impulsive (68%) burglars. deliberate burglars focused on obtaining cash, whereas impulsive burglars were more motivated by drug habits. impulsive burglars were more easily dissuaded from a target when multiple obstacles are present. burglars consider how many obstacles they may have to overcome, providing support for rational choice-based, situational crime prevention efforts. differences in burglar motivation emerged and are discussed.","2017","sanders, an; kuhns, jb; blevins, kr","crime & delinquency","63","12","1547-1571","10.1177/0011128716660519","WOS"," "," "
