"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"Child Abductors Who Have Killed Their Victims: A Theoretical Approach to Spatial Analysis","","DeSa, Tonya M.","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2015-01-01","2015","","","","","","978-1-321-57153-0","ENG","Despite the intense and prolonged public attention received when a child is abducted and killed, there are major gaps in the academic literature. One of the gaps pertains to the distances traveled by the offender between key crime locations. The overall aim of this study was to provide information concerning typical travel distances of offenders. This project utilized an archival data set compiled by the Federal Bureau of Investigation, National Center for the Analysis of Violent Crime. The database constructed for this project consisted of 72 victims who were abducted and murdered by 68 offenders. The date range for these offenses was 1970–2006. The research questions were addressed with t-tests for independent samples and multiple linear regressions. Three primary dependent variables under investigation in this study were (a) the distance between the offender's residence and the abduction site, (b) the distance between the abduction site and the disposal of the victim's remains, (c) the distance between the location of the body disposal site and the offender's residence. Additionally, a multitude of bivariate analyses were examined. The variables examined in various combinations using bivariate analyses were offender characteristics, victim characteristics, distance variables, and crime event variables.  Although findings were primarily insignificant, they contribute to the general literature regarding child abduction homicide offenses. While a number of studies have related child abduction/homicide to specific contexts, little research has been done relating child abduction to theoretical frameworks. This study explored routine activities theory, rational choice theory, and crime pattern theory as they relate to the geographical behavior of child abductors/murderers.","https://www.proquest.com/docview/1658532582?accountid=11077&bdid=92773&_bd=u%2FErlFuqXOAuE8KkC00bZFBG7ng%3D",""
"Journey to crime of ""itinerant crime groups""","","Stijn Van Daele; Tom Vander Beken","Policing","Scholarly Journals","","33","2","2010-04-01","2010","339","","339-353","1363951X","","","ENG","Purpose - Most researchers have found that property crimes have a local focus: offenders tend to operate in the vicinity of their residence. This has led the police to organise themselves to concentrate their resources in highly populated, urban areas. Over the last decade mobile property offenders have been found in various Western European countries that differ from this norm. These groups of mainly Eastern European multiple offenders engaging in property crime tend to travel further than other offenders. As such, their operations differ from most criminals, challenging the way the police are organised and undermining criminological theories on journey to crime. The aim of this paper is to look at the specificity of mobility patterns of these groups, to examine the precise interpretation of their mobility and to consider the implications. Design/methodology/approach - The paper uses the Belgian police database containing all serious property crimes in Belgium for the period 2002-2006. Some basic offender characteristics have been identified and for these offenders journey-to-crime patterns have been established. Findings - Eastern European multiple offending groups tend to commit their crimes in rural areas. Although they start their journey in regions considered ""crime importing"", they carry out their crimes in ""crime exporting"" areas. As such, they are atypical, challenging traditional theories on journey-to-crime and the way in which police forces are organised. Research limitations/implications - Observing a special group is one thing, but explaining these differences is another. Further research is needed, in particular with regard to the motivational aspects for these offenders. Originality/value - Whereas most researchers have found crime (including property crime) to be mainly local, the present research focuses on more mobile offenders. The challenges that these groups create for law enforcement authorities make it important for them and their patterns of activity to be understood.","https://www.proquest.com/docview/347385740?accountid=11077&bdid=92773&_bd=MM5Yg0PCNv%2BTjQSqdbKRyfMzjmc%3D","https://doi.org/10.1108/13639511011044920"
"The CIA made me do it: understanding the political economy of corruption in Kazakhstan","","Yeager, Matthew G","Crime, Law and Social Change","Scholarly Journals","","57","4","2012-05-01","May 2012","441","","441-457","09254994","","","ENG","This article focuses on a widely publicized criminal prosecution recently completed in the US District Court in New York City. It features an oil broker by the name of James Giffen who is accused of paying bribes totaling as high as $84 million dollars to high-ranking members of the government in Kazakhstan. This includes the President, the Prime Minister, and a former oil minister. Mainstream criminology tends to see these perpetrators as individual evil-doers who exploit opportunity structures, rational-choice purveyors of greed, or even as persons who experienced problems of social attachment as young people. To the contrary, this paper suggests that the pattern is firmly grounded in the geo-politics of oil in central Asia, in which governments and their multi-national oil companies are jockeying for lucrative oil reserves. In the instant case, there was circumstantial evidence that both the CIA, State Department, and even the Clinton White House knew what Mr. Giffen was doing in Kazakhstan, and looked the other way - so as to favor American, multi-national oil companies seeking low-cost oil leases from the Kazakhstan government. [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/1012772067?accountid=11077&bdid=92773&_bd=I5prklx6tHpxnXVGodsFC42Oz%2BY%3D","https://doi.org/10.1007/s10611-011-9341-2"
"An Analysis of Regional Corporate Injustice, Culture and Acoountability","","Basilio, Antonio","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2021-01-01","2021","","","","","","9798460407521","ENG","Coal miners’ struggles with black lung disease can be traced to the 1800s. Back then, coal miners fought to make the industry accept that coal mine dust was the culprit behind black lung disease, but they failed. By 1900, some clinicians started recognizing that coal miners suffered from anthracosis or asthma. The miners realized that they could accomplish more if they worked as a team and formed the United Mine Workers of America. They attempted to get compensation for disabled coal miners but failed repeatedly. Their hard work gradually brought about change with the passage of the 1969 Federal Coal Mine Health and Safety Act which allowed the government to inspect coal mines, establish safety coal-dust level policies, and compensate sick coal miners. Gaining black lung disease benefits was not as easy as expected. Despite several thousand coal miners applying for black lung disease benefits, only a few thousand received them since the coal companies would mostly appeal benefit award claims for decades until the coal miner and/or his wife gave up or died. After the act was passed, there was a decrease in black lung disease cases until 2000, when the number started to rise again, especially among young coal miners.Many scholars have been looking for an explanation for the sudden increase in black lung disease cases since 2000. Some theorize that the increase was caused by coal mining companies cutting corners and not maintaining safe coal dust levels; the true extent of the problem was unknown because all coal miners do not test themselves for black lung disease. This research uses rational choice theory to analyze the decisions of key players, such as the federal government (Congress and the President), coal miners, black lung disease medical experts, coal mine operators/owners, and appellate courts, to identify patterns in the way their decisions impacted the US Department of Labor’s ability to implement the 1969 Federal Coal Mine Health and Safety Act (Policy) and the amendments added years later and also determine whether the federal government has properly implemented coal mining safety and health policies in the coal mining industry. The researcher would consider coal mine explosion investigations, criminal and/or civil cases related to coal mine explosions, violations to Environmental Protection Agency policies, and attempts by coal miners, and watchdog and coal mining organizations to obtain monetary damages and/or a judicial order to stop the federal government from issuing a coal mining permit or stop implementing the policies for coal mining federal agencies such as the MSHA. Coal mine explosion investigations and criminal/civil cases began in 2000 and has continued since then. The literature review suggests that the black lung cases among coal miners first noticeably rose in the mid 1990s. This research will answer the following questions:1.	How are the major findings of the mine explosions reports, criminal cases, and civil cases related to the administration of justice?2.	How are the major findings from the mine explosions reports, criminal cases, and civil cases related to the administration of black lung disease benefits?3.	How do the actions of key players (state and federal legislators, coal mining operators/owners, coal miners, and the federal government and federal agencies) possible hinder the US Department of Labor’s ability to implement the 1969 Federal Coal Mine Health and Safety Act (Policy) and its later amendments? How can it be determined whether the federal government has properly implemented coal mining safety and health policies in the coal mining industry?","https://www.proquest.com/docview/2580653945?accountid=11077&bdid=92773&_bd=Ue2MC%2FbKm6SjVePfWSVuwFkJd6M%3D",""
"SERENDIPITY IN ROBBERY TARGET SELECTION","","Jacobs, Bruce A","The British Journal of Criminology","Scholarly Journals","","50","3","2010-05-01","May 2010","514","","","00070955","","","ENG","Drawing from interviews with active robbers (drug robbers and carjackers), this paper explores the role of serendipity in the robbery target selection process. Serendipity is defined as the art of finding something valuable while engrossed in something different (Roberts 1989). The discovery is unanticipated, unexpected and anomalous (Merton and Barber 2006) and may result from decidedly negative experiences. The extent to which robbers targets emerge through 'pure' serendipity or a more 'manufactured' variety sheds light on the conceptual interface between perception, need, opportunity and rational choice. [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/356810277?accountid=11077&bdid=92773&_bd=K1VEuSDqFlTXSsCUIVF%2BVqqWe0c%3D","https://doi.org/10.1093/bjc/azq002"
"Are Parrots CRAVED? An Analysis of Parrot Poaching in Mexico","","Pires, Stephen; Clarke, Ronald V","The Journal of Research in Crime and Delinquency","Scholarly Journals","","49","1","2012-02-01","Feb 2012","122","","","00224278","","","ENG","Poaching significantly contributes to the endangerment of protected wildlife but has rarely been studied by criminologists. This study examines whether CRAVED, a general model of theft choices drawn from routine activity and rational choice theory, can help to explain parrot poaching. It correlates estimates of the numbers poached for the 22 species of Mexican parrots with measures of CRAVED components (concealable, removable, available, valuable, enjoyable, and disposable). Widely available species and those whose chicks are easily removable from the nest are more commonly poached, a pattern suggesting that most poachers are opportunistic villagers. More valuable/disposable and more enjoyable species are rarely taken because few remain in the wild after being heavily poached for export in the 1980s. Apart from helping to explain parrot poaching and consider conservation options, the application of CRAVED suggested a possible contribution to understanding theft choices. This was that ""abundant"" and ""accessible"" might replace ""available."" [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/923242170?accountid=11077&bdid=92773&_bd=p0bDQ0S7%2BAoSomrPmbIjEPewUh8%3D","https://doi.org/10.1177/0022427810397950"
"The Effect of COVID-19 Restrictions on Routine Activities and Online Crime","","Johnson, Shane D.; Nikolovska, Manja","Journal of Quantitative Criminology","Scholarly Journals","","40","1","2024-03-01","Mar 2024","131","150","131-150","07484518","","","ENG","ObjectivesRoutine activity theory suggests that levels of crime are affected by peoples’ activity patterns. Here, we examine if, through their impact on people’s on- and off-line activities, COVID-19 restriction affected fraud committed on- and off-line during the pandemic. Our expectation was that levels of online offending would closely follow changes to mobility and online activity—with crime increasing as restrictions were imposed (and online activity increased) and declining as they were relaxed. For doorstep fraud, which has a different opportunity structure, our expectation was that the reverse would be true.MethodCOVID-19 restrictions systematically disrupted people’s activity patterns, creating quasi-experimental conditions well-suited to testing the effects of “interventions” on crime. We exploit those conditions using ARIMA time series models and UK data for online shopping fraud, hacking, doorstep fraud, online sales, and mobility to test hypotheses. Doorstep fraud is modelled as a non-equivalent dependent variable, allowing us to test whether findings were selective and in line with theoretical expectations.ResultsAfter controlling for other factors, levels of crime committed online were positively associated with monthly variation in online activities and negatively associated with monthly variation in mobility. In contrast, and as expected, monthly variation in doorstep fraud was positively associated with changes in mobility.ConclusionsWe find evidence consistent with routine activity theory, suggesting that disruptions to people’s daily activity patterns affect levels of crime committed both on- and off-line. The theoretical implications of the findings, and the need to develop a better evidence base about what works to reduce online crime, are discussed.","https://www.proquest.com/docview/2938256766?accountid=11077&bdid=92773&_bd=rgC5ZYoq%2B2t3eBOvrB%2FH3ybWBjw%3D","https://doi.org/10.1007/s10940-022-09564-7"
"Getting a handle on crime: A further extension of routine activities theory","","Tillyer, Marie Skubak; Eck, John E","Security Journal","Scholarly Journals","","24","2","2011-04-01","Apr 2011","179","","179-193","09551662","","","ENG","Routine activities theory has had considerable influence, stimulating subsequent theoretical development, generating an empirical literature on crime patterns and informing the design of prevention strategies. Despite these numerous applications of the theory to date, a promising vein for theoretical development, research and prevention remains untapped. The concept of handlers, or those who control potential offenders, has received relatively little attention since introduced by Felson (1986). This article examines the reasons for the lack of attention to handlers and extends routine activities theory by proposing a model of handler effectiveness that addresses these issues. In addition, the model explicitly links routine activities theory with two of its complements - the rational choice perspective and situational crime prevention - to articulate the mechanism by which handling prevents crime. We conclude by discussing the broad range of prevention possibilities offered by the model of handler effectiveness. [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/858399172?accountid=11077&bdid=92773&_bd=SxfYo9KAsMUg054R9KPQf3BdSWc%3D","https://doi.org/10.1057/sj.2010.2"
"The Unusual Case of Sexual Homicide Against Males: Comparisons and Classification","","Chopin Julien; Beauregard, Eric","International Journal of Offender Therapy and Comparative Criminology","Scholarly Journals","","67","5","2023-04-01","Apr 2023","499","523","499-523","0306624X","","","ENG","This study examines the specificities of sexual homicides involving male victims. First, this study aims to identify characteristics specific to SH involving male victims by comparing them to SH involving female victims and determine whether rational choice approach and routine activities theories are useful to explain the crime-commission process. Second, this study aims to provide the first empirical classification of SH involving male victims. The sample used in this research comes from the Sexual Homicide International Database (SHIelD) including 662 cases of cases—100 cases involving male victims and 552 involving female victims. Bivariate and multivariate analysis are performed to examine the differences between the two groups and latent class analysis is used to generate an empirical classification of cases involving male victims. Findings indicate the victim’s gender plays an important role in the different choices made by sexual homicide offenders of male victims to successfully complete their crime. They adapted their crime-commission process to overcome the risks associated with a physical confrontation with a male victim (i.e., target selection, approach strategy, method of killing). Classification analysis suggests that it exists three different types of sexual murderers assaulting male victims: the robber sexual murderer, the sadistic sexual murderer, and the pedophile murderer. This research proposes the first empirical typology of sexual homicide involving male victims and provides both a true picture of the reality and a comprehensive understanding of this phenomenon.","https://www.proquest.com/docview/2778882676?accountid=11077&bdid=92773&_bd=OUYjWOlLYxNY0%2BO8DpsjIegnMi0%3D","https://doi.org/10.1177/0306624X211049194"
"Revisiting the generality of rational choice theory: Evidence for general patterns but differential effects across varying levels of psychopathy","","Ray, James V; Baker, Thomas; Caudy, Michael S","Journal of Criminal Justice","Scholarly Journals","","66","","2020-01-01","Jan/Feb 2020","1","","","00472352","","","ENG","Examining the role of individual differences in perceptions of risk and rewards to offending has become an important line of inquire (Pratt, Cullen, Blevins, Daigle, & Madensen, 2006); however, psychopathy has yet to be considered. We tested the interaction between psychopathy and rational choice variables to determine if those with elevated psychopathy were differentially motivated to offend. Using a panel of 1307 serious juvenile offenders, we found a within-individual interaction effect between changes in psychopathy and changes in perceptions of risk and rewards after controlling for several relevant factors (e.g., early onset conduct problems, race, gender, exposure to violence, delinquent peer association, family criminal history, having children, gang involvement, and street time) and unobserved, between-individual heterogeneity. We further explored significant interactions using group-based models. These findings suggested that those with elevated psychopathy were more motivated by perceived rewards. However, the interaction for psychopathy and risk suggested that those with elevated levels of psychopathy were also more deterred by the perceived risks of offending. Findings support rational choice variables as robust predictors of offending; however, they may be most influential on decisions to offend among those demonstrating the greatest risk of offending.","https://www.proquest.com/docview/2355955344?accountid=11077&bdid=92773&_bd=nPxhKNK6vLehVgB9mfP%2B%2BdnTfCg%3D","https://doi.org/10.1016/j.jcrimjus.2019.101654"
"SHOPS: Predicting Shooting Crime Locations Using Principle of Data Analytics","","Varlioglu, Muhammed Said","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2019-01-01","2019","","","","","","9781392575673","ENG","It is the fact that crime affects all aspects of human life. Shooting crime has long been a major and serious problem of some US cities.  According to 2017 national statistics, Cleveland was ranked as the 5th, Cincinnati as the 9th, and Columbus as the 21st deadliest city in the US. The analysis of any historical crime data reveals that crime is non-randomly distributed in time and space. Based on this notion, hot spots policing has gained its momentum to effectively predict future crime locations and to direct limited resources of the police to the places where the need is greatest. Hots spots policing approach tries to predict shooting locations ahead of time to increase the quality of life. Recent studies; however, pointed out that traditional hot spots policing occasionally predict rare crimes such as homicides and shootings due to their less frequent recurring counts in a given place and time (specifically for shorter time periods such as weeks and months). Given this context, we developed a new shooting prediction system (SHOPS) to explore whether recent dynamic/mobility activity patterns of known violent individuals increase the prediction of short-term fatal and non-fatal shootings compared to the traditional hot spots policing. Findings suggest that SHOPS predicts fatal and non-fatal shooting locations more precisely by identifying fewer hotspot locations. Policy implications of the study were discussed in the conclusion section.","https://www.proquest.com/docview/2353041287?accountid=11077&bdid=92773&_bd=X%2BOId2ehpLDt%2BsRqKbCN1CjEOCc%3D",""
