Study_ID,Title_of_the_study,Citation,Size_of_the_unit,Unit,Unit_size_km2,Size_group,Name_of_the_unit,No_of_units,No_of_incidents,Inferred_size,Publication_Year,Country,Primary_Crime_Type,Study_Area_km2,Statistical_Method,Alternative_Sampling,Number_of_Variables,Sample_Size_Occasions,Scale_Justification_Provided,Demographic_Variables,Economic_Variables,Land_Use_Variables,Infrastructure_Variables,Distance_Variables,Crime_Opportunity_Variables,Social_Variables,Software_Used,Convergence_Issues,Data_Sources,Choice_Set_Strategy,Scale_Justification_Type,PDF_File,Statistical_Method_PDF,Alternative_Sampling_PDF,Number_of_Variables_PDF,Sample_Size_Occasions_PDF,Scale_Justification_Provided_PDF,Software_Used_PDF,Convergence_Issues_PDF,Text_Length
11,spatial analysis with preference specification of latent decision makers for criminal event prediction,"(Xue & Brown, 2006)",0.062,km2,0.062,small,Grid_cell,2517.0,1200,"he paper does not report the spatial unit size directly but uses a regular grid of 2,517 cells to represent spatial alternatives in Richmond, VA. The average area per grid cell was estimated by dividing the total area of Richmond (155 km²) by the number of grid cells (2,517), resulting in an average of approximately 0.062 km² per grid cell.",2006.0,Unknown,General_crime,156.054,Multinomial Logit,Importance Sampling,,,No,,,,,,,,"R, SAS",Not Reported,,,,11_spatial_analysis_with_preference_specification_of.pdf,Multinomial Logit,Importance Sampling,,,No,"R, SAS",Not Reported,46628.0
12,Modelling the spatial decision making of terrorists: The discrete choice approach,"(Marchment & Gill, 2019)",0.15,km2,0.15,small,Small_areas,890.0,150,"The paper does not report the spatial unit size directly but uses Small Areas (SAs) as the spatial unit. The average area per SA in Belfast was estimated by dividing the total area of Belfast (132 km²) by the number of SAs (890), resulting in an average of approximately 0.15 km² per SA.",2019.0,Unknown,Terrorism,133.5,"Multinomial Logit, Mixed Logit, Latent Class",None,,,No,,,,,,,,"R, Stata, SAS",Not Reported,,,,12_modelling_the_spatial_decision_making_of_terrorist.pdf,"Multinomial Logit, Mixed Logit, Latent Class",None,,,No,"R, Stata, SAS",Not Reported,70914.0
13,Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model (LSOA),"(Johnson & Summers, 2015)",0.2,km2,0.2,small,Lower_Super_Output_Area,198.0,721,"This paper doesnot report the spatial unit size. The average area per LSOA was estimated by assuming similar population density to Bernasco & Nieuwbeerta (2005), where the average unit had 4,952 people and an area of 0.65 km². With an average LSOA population of 1,524, the estimated area per LSOA is approximately 0.20 km².",2015.0,Unknown,General_crime,39.6,Multinomial Logit,None,,,Yes,,,,,,,,"R, Stata",Not Reported,,,,13_testing_ecological_theories_of_offender_spatial_de.pdf,Multinomial Logit,None,,,Yes,"R, Stata",Not Reported,71942.0
14,Target Choice During Extreme Events: A Discrete Spatial Choice Model of the 2011 London Riots (LSOA),"(Baudains et al., 2013)",0.33,km2,0.33,small,Lower_Super_Output_Area,4.765,2299,"The paper does not report the spatial unit size and uses LSOAs (Lower Super Output Areas) as the spatial unit. The average area per LSOA was estimated by dividing the total area of Greater London (1,569 km²) by the number of LSOAs (4,765), resulting in an average of approximately 0.33 km² per LSOA.",2013.0,UK,Other,1.57245,Multinomial Logit,Not Clear,,,No,,,,,,,,"R, Stata, SAS",Not Reported,,,,14_target_choice_during_extreme_events_a_discrete_sp.pdf,Multinomial Logit,Not Clear,,,No,"R, Stata, SAS",Not Reported,86635.0
15,Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,"(Rowan, Appleby & McGloin, 2022)",0.37,km2,0.37,small,Census_block_group,653.0,6249,"The paper does not report the spatial unit size directly but uses census block groups as the spatial unit. Baltimore City is divided into 653 census block groups. The average area per block group can be estimated by dividing the total area of Baltimore (238.5 km²) by the number of block groups (653), resulting in an average of approximately 0.37 km² per block group. ",2022.0,Unknown,General_crime,241.61,Not Clear,Not Clear,,6249.0,No,,,,,,,,R,Not Reported,,,,15_situating_crime_pattern_theory_into_the_explanation.pdf,Not Clear,Not Clear,,6249.0,No,R,Not Reported,70942.0
16,Modelling taste heterogeneity regarding offence location choices (Census output area),"(Frith, 2019)",0.44,km2,0.44,small,"Census_output_
areas",616.0,1105,,2019.0,Unknown,Other,271.04,"Multinomial Logit, Mixed Logit, Latent Class",Not Clear,,,No,,,,,,,,"R, Stata",Not Reported,,,,16_modelling_taste_heterogeneity_regarding_offence_lo.pdf,"Multinomial Logit, Mixed Logit, Latent Class",Not Clear,,,No,"R, Stata",Not Reported,74646.0
17,Learning where to offend: Effects of past on future burglary locations (UK Census Lower Level Super Output Area (LSOA),"(Bernasco et al., 2015)",0.51,km2,0.51,small,Lower_Level_Super_Output_Area_(LSOA),1687.0,3337,,2015.0,UK,Burglary,860.37,Multinomial Logit,Not Clear,,,No,,,,,,,,R,Not Reported,,,,17_learning_where_to_offend_effects_of_past_on_future_burglary_locations.pdf,Multinomial Logit,Not Clear,,,No,R,Not Reported,64504.0
18,How do residential burglars select target areas? : A new approach to the analysis of criminal location choice,"(Bernasco & Nieuwbeerta, 2005)",0.65,km2,0.65,small,Neighborhood,89.0,548,,2005.0,Unknown,Burglary,57.85,Multinomial Logit,Not Clear,,,No,,,,,,,,"R, Stata",Not Reported,,,,18_how_do_residential_burglars_select_target_areas.pdf,Multinomial Logit,Not Clear,,,No,"R, Stata",Not Reported,67761.0
19,Co-offending and the Choice of Target Areas in Burglary,"(Bernasco, 2006)",0.65,km2,0.65,small,Neighborhood,89.0,1174,,2006.0,Unknown,Burglary,57.85,Multinomial Logit,Not Clear,,,No,,,,,,,,R,Not Reported,,,,19_cooffending_and_the_choice_of_target_areas_in_bur.pdf,Multinomial Logit,Not Clear,,,No,R,Not Reported,55699.0
20,Burglar Target Selection: A Cross-national Comparison (NL),"(Townsley et al., 2015)",0.65,km2,0.65,small,Neighborhood,89.0,548,,2015.0,Netherlands,Burglary,57.85,"Multinomial Logit, Mixed Logit",Not Clear,,,No,,,,,,,,"R, SAS",Not Reported,,,,20_burglar_target_selection_a_cross_national_compari copy.pdf,"Multinomial Logit, Mixed Logit",Not Clear,,,No,"R, SAS",Not Reported,63304.0
21,Effect Attractiveness Opportunity And Accessibility To Burglars On Residential Burglary Rates Of Urban Neighborhoods,"(Bernasco & Luykx, 2003)",0.65,km2,0.65,small,Neighborhood,89.0,26000,,2003.0,Unknown,Burglary,57.85,Not Clear,Not Clear,,,No,,,,,,,,R,Not Reported,,,,21_effect_attractiveness_opportunity_and_accessibility.pdf,Not Clear,Not Clear,,,No,R,Not Reported,53623.0
22,Where offenders choose to attack: A discrete choice model of robberies in Chicago,"(Bernasco & Block, 2009)",0.7,km2,0.7,small,Census_tract,844.0,12872,"The paper does not report the spatial unit size. It uses 844 census tracts in Chicago as spatial units but does not specify their area. We estimated the average tract size by dividing Chicago’s total land area (589 km²) by the number of tracts, resulting in an average of approximately 0.70 km² per tract.",2009.0,USA,Robbery,590.8,Multinomial Logit,Not Clear,,75078.0,Yes,,,,,,,,"R, Stata",Not Reported,,,,22_where_offenders_choose_to_attack_a_discrete_choice_model.pdf,Multinomial Logit,Not Clear,,75078.0,Yes,"R, Stata",Not Reported,110092.0
23,Location Location Location”: Effects of Neighborhood and House Attributes on Burglars’ Target Selection',"(Vandeviver & Bernasco, 2020)",0.79,km2,0.79,small,Statistical_districts,193.0,679,,2020.0,Unknown,Burglary,152.47,"Multinomial Logit, Nested Logit",Not Clear,,,No,,,,,,,,R,Not Reported,,,,23_location_location_location_effects_of_neighbo.pdf,"Multinomial Logit, Nested Logit",Not Clear,,,No,R,Not Reported,116763.0
24,Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar’s Home Neighborhood Predict Offense Location?,"(A. W. Chamberlain & Boggess, 2016)",0.88,km2,0.88,small,Blocks,334.0,5182,"The paper does not report the spatial unit size. We estimated the average block group area by dividing Tampa’s total land area (293 km²) by the number of block groups (334), resulting in an average of approximately 0.88 km² per block group.",2016.0,Unknown,Burglary,293.92,Multinomial Logit,Not Clear,,5182.0,No,,,,,,,,"R, Stata, SAS",Not Reported,,,,24_relative_difference_and_burglary_location.pdf,Multinomial Logit,Not Clear,,5182.0,No,"R, Stata, SAS",Not Reported,75685.0
25,divergent decisionmaking in context neighborhood context shapes effects of physical disorder and spatial knowledge on burglars location choice,"(Cai et al., 2024)",0.958,km2,0.958,small,Community,1652.0,1972,,2024.0,Unknown,Burglary,1582.616,Multinomial Logit,None,,2024.0,No,,,,,,,,R,Not Reported,,,,25_divergent_decision-making_in_context_neighborhood.pdf,Multinomial Logit,None,,2024.0,No,R,Not Reported,74142.0
26,familiar locations and similar activities examining the contributions of reliable and relevant knowledge in offenders crime location choices,"(Curtis-Ham et al., 2025)",1.2,km2,1.2,medium,Statistical_Area,2153.0,38120,"The paper uses “Statistical Area 2” (SA2) census units as the spatial unit of analysis. SA2s typically contain 2,000–4,000 residents (1,000–3,000 in rural areas). In this study, the analyzed SA2s had a median land area of 1.2 km², with 50% of SA2s sized between 0.84 and 2.2 km². ",2025.0,Unknown,General_crime,2583.6,Multinomial Logit,Random Sampling,17.0,,No,,,,,,,,"R, SAS",Not Reported,,,,26_familiar_locations_and_similar_activities_examining.pdf,Multinomial Logit,Random Sampling,17.0,,No,"R, SAS",Not Reported,68614.0
27,Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,"(A. Chamberlain et al., 2022)",1.36,km2,1.36,medium,Block_groups,304.0,4920,"The paper does not report the spatial unit size directly but uses census block groups as the spatial unit. The city of Tampa is divided into 334 block groups. The average area per block group was estimated by dividing the total area of Tampa (455 km²) by the total number of block groups (334), resulting in an average of approximately 1.36 km² per block group. Although the analysis in the study was conducted on 304 block groups due to data availability, the average size was calculated using all 334 block groups to reflect the full spatial division of the city.",2022.0,Unknown,Burglary,413.44,Multinomial Logit,Not Clear,,3269.0,No,,,,,,,,"R, Stata",Not Reported,,,,27_traveling_alone_or_together_neighborhood_context.pdf,Multinomial Logit,Not Clear,,3269.0,No,"R, Stata",Not Reported,71981.0
28,Relationships Between Offenders’ Crime Locations and Different Prior Activity Locations as Recorded in Police Data,"(Curtis-Ham et al., 2022a)",1.41,km2,1.41,medium,"Statistical_Area_
2",2153.0,38120,"the authors report that the median land area of the sampled Statistical Area Level 2 (SA2) units was 1.2 km², with the first quartile (Q1) at 0.84 km² and the third quartile (Q3) at 2.2 km². While the mean unit size was not directly reported, it can be approximated using a standard formula that averages the three quartile values:
Estimated Mean Area≈Q1+Median+Q33=0.84+1.2+2.23≈1.41 km²",,Unknown,General_crime,3035.73,"Multinomial Logit, Mixed Logit",Importance Sampling,10.0,,Yes,,,,,,,,R,Not Reported,,,,28_relationships_between_offenders_crime_locations.pdf,"Multinomial Logit, Mixed Logit",Importance Sampling,10.0,,Yes,R,Not Reported,75345.0
29,Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves’ Target Location Choices,"(Song et al., 2019)",1.62,km2,1.62,medium,Census_unit,1616.0,3436,,2019.0,Unknown,General_crime,2617.92,Multinomial Logit,Not Clear,,595.0,Yes,,,,,,,,R,Not Reported,,,,29_crime_feeds_on_legal_activities_daily_mobility_fl.pdf,Multinomial Logit,Not Clear,,595.0,Yes,R,Not Reported,85683.0
30,Assessing the influence of prior on subsequent street robbery location choices: A case study in ZG City  China,"(Long et al., 2018)",1.62,km2,1.62,medium,Community,1973.0,1262,,2018.0,China,Robbery,3196.26,"Multinomial Logit, Mixed Logit",Not Clear,,,No,,,,,,,,"R, Stata, SAS",Not Reported,,,,30_assessing_the_influence_of_prior_on_subsequent_street_robbery_location_choices.pdf,"Multinomial Logit, Mixed Logit",Not Clear,,,No,"R, Stata, SAS",Not Reported,58508.0
31,Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,"(Long et al., 2021)",1.62,km2,1.62,medium,Community,1971.0,4358,,2021.0,Unknown,Robbery,3193.02,Multinomial Logit,Not Clear,,,No,,,,,,,,"R, Stata",Not Reported,,,,31_ambient_population_and_surveillance_cameras.pdf,Multinomial Logit,Not Clear,,,No,"R, Stata",Not Reported,76107.0
32,Do Migrant and Native Robbers Target Different Places?,"(Long & Liu, 2021)",1.62,km2,1.62,medium,Neighborhood,1971.0,7860,,2021.0,Unknown,Robbery,3193.02,Multinomial Logit,Not Clear,,,No,,,,,,,,"R, Stata, SAS",Not Reported,,,,32_do_migrant_and_native_robbers_target_different_places.pdf,Multinomial Logit,Not Clear,,,No,"R, Stata, SAS",Not Reported,57328.0
33,"Do juvenile, young adult, and adult offenders target different places in the Chinese context?","(Long & Liu, 2022)",1.62,km2,1.62,medium,Neighborhood,1971.0,7860,,2022.0,China,General_crime,3193.02,Multinomial Logit,Not Clear,,,No,,,,,,,,R,Not Reported,,,,33_do_juvenile_young_adult_and_adult_offenders_target_different_places.pdf,Multinomial Logit,Not Clear,,,No,R,Not Reported,58114.0
34,Awareness×Opportunity: Testing Interactions Between Activity Nodes and Criminal Opportunity in Predicting Crime Location Choice,"(Menting, 2018)",1.68,km2,1.68,large,Postal_code_area,76.0,13088,,2018.0,Unknown,General_crime,127.68,Multinomial Logit,Not Clear,,,No,,,,,,,,R,Not Reported,,,,34_awareness_x_opportunity_testing_interactions_betw.pdf,Multinomial Logit,Not Clear,,,No,R,Not Reported,70937.0
35,The Importance of Importance Sampling: Exploring Methods of Sampling from Alternatives in Discrete Choice Models of Crime Location Choice,"(Curtis-Ham et al., 2022b)",1.962,km2,1.962,large,Statistical_Area,2153.0,38120," The paper does not report the spatial unit size directly but uses New Zealand Census Statistical Area 2 (SA2) units as the spatial unit. There are 2,153 SA2s in New Zealand, with land areas ranging from 0.063 km² to 12,042.36 km². The median area of an SA2 is 1.96 km²,",,Unknown,General_crime,4224.186,"Multinomial Logit, Mixed Logit, Nested Logit",Importance Sampling,,,No,,,,,,,,R,Not Reported,,,,35_the_importance_of_importance_sampling_exploring_m.pdf,"Multinomial Logit, Mixed Logit, Nested Logit",Importance Sampling,,,No,R,Not Reported,80575.0
36,Burglar Target Selection: A Cross-national Comparison (Super Output Areas - UK),"(Townsley et al., 2015)",2.04,km2,2.04,large,Super_Output_Areas,131.0,398,,2015.0,UK,Burglary,267.24,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Location Choice of Snatching Offenders in Chennai City (Wards),"(Kuralarasan & Bernasco, 2022)",2.18,km2,2.18,large,Wards,201.0,1573,,2022.0,India,Theft,438.18,"Multinomial Logit, Mixed Logit",Not Clear,,,No,,,,,,,,R,Not Reported,,,,37_location_choice_of_snatching_offenders_in_chennai.pdf,"Multinomial Logit, Mixed Logit",Not Clear,,,No,R,Not Reported,72470.0
38,The Influence of Activity Space and Visiting Frequency on Crime Location Choice: Findings from an Online Self-Report Survey,"(Menting et al., 2020)",2.63,km2,2.63,large,Neighborhood,12821.0,140,,2020.0,Unknown,General_crime,33719.23,Multinomial Logit,Not Clear,,,No,,,,,,,,R,Not Reported,,,,38_the_influence_of_activity_space_and_visiting_frequ.pdf,Multinomial Logit,Not Clear,,,No,R,Not Reported,70810.0
39,Right place  right time? Making crime pattern theory time-specific,"(S. van Sleeuwen et al., 2021)",2.63,km2,2.63,large,Neighborhood,71.0,13305,,2021.0,Unknown,General_crime,186.73,Multinomial Logit,Not Clear,,,No,,,,,,,,R,Not Reported,,,,39_right_place_right_time_making_crime_pattern_theory.pdf,Multinomial Logit,Not Clear,,,No,R,Not Reported,52381.0
40,Burglars blocked by barriers The impact of physical and social barriers on residential burglars target location choices in China,"(Xiao et al., 2021)",2.74,km2,2.74,large,Community,2643.0,3860,,2021.0,China,Burglary,7241.82,"Multinomial Logit, Mixed Logit",Random Sampling,,,No,,,,,,,,"R, Stata, SAS",Not Reported,,,,40_burglars_blocked_by_barriers.pdf,"Multinomial Logit, Mixed Logit",Random Sampling,,,No,"R, Stata, SAS",Not Reported,78656.0
41,Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,"(Yue et al., 2023)",2.81,km2,2.81,large,Community,1636.0,1540,"The paper does not report the spatial unit size directly but uses “community” as the spatial unit. ZG city (Guangzhou) is divided into 2,643 communities. The average area per community was estimated by dividing the total area of Guangzhou (7,434 km²) by the number of communities (2,643), resulting in an average of approximately 2.81 km² per community. Although the analysis included only 1,636 communities due to data coverage, the average size was calculated using all 2,643 communities to reflect the full spatial division of the city.",2023.0,Unknown,Theft,4597.16,Multinomial Logit,Not Clear,,1540.0,No,,,,,,,,R,Not Reported,,,,41_investigating_the_effect_of_people_on_the_street.pdf,Multinomial Logit,Not Clear,,1540.0,No,R,Not Reported,76398.0
42,Biting Once Twice: the Influence of Prior on Subsequent Crime Location Choice,"(Lammers et al., 2015)",2.96,km2,2.96,large,Postal_code_area,142.0,12639,,2015.0,Unknown,General_crime,420.32,Multinomial Logit,Not Clear,,,No,,,,,,,,"R, SAS",Not Reported,,,,42_biting_once_twice_the_influence_of_prior_on_subs.pdf,Multinomial Logit,Not Clear,,,No,"R, SAS",Not Reported,71245.0
43,Co-offenders' crime location choice: Do co-offending groups commit crimes in their shared awareness space?,"(Lammers, 2017)",2.96,km2,2.96,large,Postal_code_area,142.0,3037,"The paper does not report the spatial unit size. It uses 5,286 street segments in the study area as spatial units but does not specify their area. We estimated the average segment size by dividing the total land area (150 km²) by the number of street segments. 0.284 km²",2017.0,Unknown,General_crime,420.32,Multinomial Logit,Not Clear,,,No,,,,,,,,R,Not Reported,,,,43_co-offenders_crime_location_choice.pdf,Multinomial Logit,Not Clear,,,No,R,Not Reported,60991.0
44,Family Matters: Effects of Family Members’ Residential Areas on Crime Location Choice*,"(Menting et al., 2016)",2.96,km2,2.96,large,Postal_code_area,142.0,19420,,2016.0,Unknown,General_crime,420.32,Multinomial Logit,Not Clear,,,No,,,,,,,,"R, SAS",Not Reported,,,,44_family_matters_effects_of_family_members_residen.pdf,Multinomial Logit,Not Clear,,,No,"R, SAS",Not Reported,61693.0
45,A Time for a Crime: Temporal Aspects of Repeat Offenders’ Crime Location Choices,"(S. E. M. van Sleeuwen et al., 2018)",2.96,km2,2.96,large,Postal_code_area,142.0,12639,,2018.0,Unknown,General_crime,420.32,Multinomial Logit,Not Clear,,,No,,,,,,,,"R, Stata, SAS",Not Reported,,,,45_a_time_for_a_crime_temporal_aspects_of_repeat_off.pdf,Multinomial Logit,Not Clear,,,No,"R, Stata, SAS",Not Reported,70757.0
46,A Sentimental Journey To Crime : Effects of Residential History on Crime Location Choice,"(Bernasco, 2010a)",2.96,km2,2.96,large,Postal_code_area,4000.0,7179,"Inferred from other papers, which reported similar postoal code area in Nederlands ",,Unknown,General_crime,11840.0,Multinomial Logit,Not Clear,,,No,,,,,,,,R,Not Reported,,,,46_a_sentimental_journey_to_crime_effects_of_reside.pdf,Multinomial Logit,Not Clear,,,No,R,Not Reported,79505.0
47,Modeling micro-level crime location choice: Application of the discrete choice framework to crime at places,"(Bernasco, 2010b)",2.96,km2,2.96,large,Postal_code_area,23984.0,1871,"Inferred from other papers, which reported similar postoal code area in Nederlands ",,Unknown,General_crime,70992.64,"Multinomial Logit, Mixed Logit, Nested Logit, Other",Importance Sampling,,,No,,,,,,,,"R, Stata, SAS",Not Reported,,,,47_modeling_micro-level_crime_location_choice_applic.pdf,"Multinomial Logit, Mixed Logit, Nested Logit, Other",Importance Sampling,,,No,"R, Stata, SAS",Not Reported,85260.0
48,Effects of Residential history on Commercial Robbers' Crime Location Choices,"(Bernasco & Kooistra, 2010)",2.96,km2,2.96,large,Postal_code_area,4006.0,276,"Inferred from other papers, which reported similar postoal code area in Nederlands ",2010.0,Unknown,Robbery,11857.76,Multinomial Logit,Not Clear,,,Yes,,,,,,,,R,Not Reported,,,,48_effects_of_residential_history_on_commercial_robbe.pdf,Multinomial Logit,Not Clear,,,Yes,R,Not Reported,42567.0
49,Formal evaluation of the impact of barriers and connectors on residential burglars' macro-level offending location choices,"(Clare et al., 2009)",6.7,km2,6.7,very large,Residential_suburb,291.0,1761,,2009.0,Unknown,Burglary,1949.7,Multinomial Logit,None,,,No,,,,,,,,R,Not Reported,,,,49_formal_evaluation_of_the_impact_of_barriers_and_connectors.pdf,Multinomial Logit,None,,,No,R,Not Reported,64187.0
50,Burglar Target Selection: A Cross-national Comparison (statistical local areas - AU),"(Townsley et al., 2015)",8.48,km2,8.48,very large,Statistical_local_areas,158.0,889,,2015.0,France,Burglary,1339.84,"Multinomial Logit, Mixed Logit",Not Clear,,,No,,,,,,,,"R, SAS",Not Reported,,,,50_burglar_target_selection_a_cross_national_compari.pdf,"Multinomial Logit, Mixed Logit",Not Clear,,,No,"R, SAS",Not Reported,63304.0
51,Target Selection Models with Preference Variation Between Offenders,"(Townsley et al., 2016)",8.48,km2,8.48,very large,Statistical_local_areas,158.0,2844,,2016.0,Unknown,General_crime,1339.84,"Multinomial Logit, Mixed Logit",Not Clear,,,No,,,,,,,,"R, SAS",Not Reported,,,,51_target_selection_models_with_preference_variation.pdf,"Multinomial Logit, Mixed Logit",Not Clear,,,No,"R, SAS",Not Reported,67245.0
