Study_ID,Title_of_the_study,Citation,Size_of_the_unit,Unit,Unit_size_km2,Size_group,Name_of_the_unit,No_of_units,No_of_incidents,Inferred_size,DOI,ISSN,Journal,Volume,Issue,Elicit_Country,Elicit_City_Region,Elicit_Study_Area_Description,Elicit_Crime_Type,Elicit_Study_Period,Elicit_Data_Sources,Elicit_Study_Design,Elicit_Statistical_Method,Elicit_Model_Type,Elicit_Software_Used,Elicit_Sampling_Approach,Elicit_Sample_Size_Elicit,Elicit_Choice_Set_Definition,Elicit_Estimation_Method,Elicit_Total_Variables,Elicit_Demographic_Vars,Elicit_Economic_Vars,Elicit_LandUse_Vars,Elicit_Infrastructure_Vars,Elicit_Distance_Vars,Elicit_Crime_Opportunity_Vars,Elicit_Social_Vars,Elicit_Environmental_Vars,Elicit_Temporal_Vars,Elicit_Main_Results,Elicit_Significant_Predictors,Elicit_Model_Performance,Elicit_Scale_Effects,Elicit_Variable_Info_Quality,Elicit_Missing_Information,Elicit_Extraction_Confidence,Elicit_Match_Score,Elicit_Matched_Title,Elicit_Title_Elicit,Elicit_Year_Elicit,Elicit_Authors_Elicit,Elicit_Journal_Elicit,Elicit_DOI_Elicit,Elicit_Study_Area_Size,Elicit_Crime_Types_All,Elicit_SUoA_Type,Elicit_SUoA_Size_Elicit,Elicit_SUoA_Description,Elicit_Number_of_Units_Elicit,Elicit_Population_per_Unit,Elicit_SUoA_Justification,Elicit_Authors_Original,Elicit_Year_Original,Elicit_Citation_Count,Elicit_Venue
11,spatial analysis with preference specification of latent decision makers for criminal event prediction,"(Xue & Brown, 2006)",0.062,km2,0.062,small,Grid_cell,2 517,~1200,"he paper does not report the spatial unit size directly but uses a regular grid of 2,517 cells to represent spatial alternatives in Richmond, VA. The average area per grid cell was estimated by dividing the total area of Richmond (155 km²) by the number of grid cells (2,517), resulting in an average of approximately 0.062 km² per grid cell.",10.1016/j.dss.2004.06.007,,,41.0,3.0,United States,"Richmond, VA","City of Richmond, VA",Residential breaking and entering,"July 1, 1997 - October 31, 1997","Regional Crime Analysis Program (ReCAP), criminal incident reporting mainframe system (RAMS) ## SPATIAL UNIT OF ANALYSIS (SUoA)",Cross-sectional,Discrete choice theory,Multinomial logit,Not mentioned,Not mentioned,Over 1200 crime observations,Large alternative set with latent decision makers,Not mentioned ## COMPLETE INDIVIDUAL VARIABLE LIST,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,New spatial choice models outperform traditional hot spot methods.,"Distance to highway, family density, personal care expenditure, distance to hospital.",Distinct spatial choice model significantly outperforms uniform spatial choice model and hot spot model. ## DATA QUALITY NOTES,,Complete,"Study area size, population per unit, justification for SUoA choice.",High,1.0,Spatial analysis with preference specification of latent decision makers for criminal event prediction,Spatial analysis with preference specification of latent decision makers for criminal event prediction,2006,"Yifei Xue, Donald E Brown",Not mentioned,Not mentioned,Not mentioned,,Grid cell,2517 regular grids,Aggregated alternatives using regular grids,2517,Not mentioned,Not mentioned ## METHODOLOGY,"Yifei Xue, Donald E Brown",2006,66,Decision Support Systems
12,Modelling the spatial decision making of terrorists: The discrete choice approach,"(Marchment & Gill, 2019)",0.15,km2,0.15,small,Small_areas,890,150,"The paper does not report the spatial unit size directly but uses Small Areas (SAs) as the spatial unit. The average area per SA in Belfast was estimated by dividing the total area of Belfast (132 km²) by the number of SAs (890), resulting in an average of approximately 0.15 km² per SA.",10.1016/j.apgeog.2019.01.009,0143-6228,Applied geography,104.0,,Northern Ireland,Belfast,"Belfast, Northern Ireland",Terrorist attacks,1969-1989,Provisional Irish Republican Army attack data ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Conditional logistic regression,Discrete choice model,STATA,Not specified,150 attacks by 127 PIRA members,Not specified,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **Distance/Accessibility Variables:** 1. Distance to target SA from home location | Distance in kilometers | kilometers | Geocoded data 2. Distance to city centre | Distance in kilometers | kilometers | Geocoded data - **Infrastructure Variables:** 1. Presence of major road | Binary indicator | binary | Ordnance Survey of Northern Ireland 2. Presence of military base or police station | Binary indicator | binary | Conflict and Politics in Northern Ireland web service - **Environmental Variables:** 1. River Lagan (natural barrier) | Binary indicator | binary | Geographical data ## VARIABLE SUMMARY COUNTS,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,"Distance from home decreases likelihood of area selection; presence of major roads, police stations, or military bases increases likelihood.","Distance, presence of major road, presence of military base or police station",McFadden pseudo-R² value of 0.178; likelihood-ratio test (p<0.001) ## DATA QUALITY NOTES,,Complete,Not specified,High,1.0,Modelling the spatial decision making of terrorists: the discrete choice approach,Modelling the spatial decision making of terrorists: the discrete choice approach,2019,Not specified,Not specified,Not specified,Not specified,,Small areas,Not specified,"Output areas in Belfast, Northern Ireland",890,Not specified,Not specified ## METHODOLOGY,-,2019,21,Applied Geography
13,Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model (LSOA),"(Johnson & Summers, 2015)",0.2,km2,0.2,small,Lower_Super_Output_Area,198,721,"This paper doesnot report the spatial unit size. The average area per LSOA was estimated by assuming similar population density to Bernasco & Nieuwbeerta (2005), where the average unit had 4,952 people and an area of 0.65 km². With an average LSOA population of 1,524, the estimated area per LSOA is approximately 0.20 km².",https://doi.org/10.1177/0011128714540276,0011-1287,Crime and Delinquency,61.0,3.0,United Kingdom,Dorset,County of Dorset,Theft from vehicles (TFV),"January 1, 2001, to December 31, 2005",Police data for detected incidents of TFV ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Discrete choice model,Conditional logit model,STATA 10 SE,Not mentioned,721 crimes committed by 263 offenders,Not mentioned,"Maximum likelihood estimation ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Population turnover (10%) - Socioeconomic heterogeneity (10%) - **ECONOMIC VARIABLES:** - Number of car parks - Number of cars and vans - **LAND USE VARIABLES:** - Presence of school(s) - Presence of train station(s) - **INFRASTRUCTURE VARIABLES:** - Connectivity: Major road(s) - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance to offender’s home (log km) - Distance to city center (log km) - **CRIME OPPORTUNITY VARIABLES:** - Not mentioned - **SOCIAL/BEHAVIORAL VARIABLES:** - Social cohesion - **ENVIRONMENTAL VARIABLES:** - Not mentioned - **TEMPORAL/CONTROL VARIABLES:** - Not mentioned - **OTHER VARIABLES:** - Not mentioned ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 9 - **Demographic Variables:** 2 - **Economic Variables:** 2 - **Land Use Variables:** 2 - **Infrastructure Variables:** 1 - **Distance/Accessibility Variables:** 2 - **Crime Opportunity Variables:** 0 - **Social/Behavioral Variables:** 1 - **Environmental Variables:** 0 - **Temporal/Control Variables:** 0 - **Other Variables:** 0 ## KEY FINDINGS - Offenders prefer areas with low social cohesion and closer to their homes or routine activity nodes. - Adult offenders are influenced by the accessibility of neighborhoods via the street network. - Younger offenders prefer areas further from city centers. - Urban planning can influence crime patterns by considering the placement of routine activity nodes and connectivity. ## DATA QUALITY NOTES - Variable information quality: Complete - Missing information: Study area size, justification for SUoA choice, sampling approach, choice set definition - Extraction confidence: High",9.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,,,,,,,,0.9738219895287958,Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model,Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model,2015,"Shane D Johnson, Lucia Summers",Not mentioned,Not mentioned,Not mentioned,,UK census Lower Super Output Area (LSOA),Not mentioned,Used as spatial units for analysis,198 LSOAs,"Approximately 1,524 people and 662 residential households",Not mentioned ## METHODOLOGY,"Shane D Johnson, Lucia Summers",2015,85,Crime and delinquency
14,Target Choice During Extreme Events: A Discrete Spatial Choice Model of the 2011 London Riots (LSOA),"(Baudains et al., 2013)",0.33,km2,0.33,small,Lower_Super_Output_Area,4.765,2299,"The paper does not report the spatial unit size and uses LSOAs (Lower Super Output Areas) as the spatial unit. The average area per LSOA was estimated by dividing the total area of Greater London (1,569 km²) by the number of LSOAs (4,765), resulting in an average of approximately 0.33 km² per LSOA.",https://doi.org/10.1111/1745-9125.12004,0011-1384,Criminology,51.0,2.0,United Kingdom,London,London during the 2011 riots,Riot-related incidents,August 2011,Police data for riot-related incidents ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Random utility model,Discrete choice model,STATA 10 SE,,"2,299 records",,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Population churn rate - Ethnic diversity - **ECONOMIC VARIABLES:** - Deprivation (Index of Multiple Deprivation) - **LAND USE VARIABLES:** - Presence of schools - Presence of retail facilities - **INFRASTRUCTURE VARIABLES:** - Presence of underground stations - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance from city center - Distance from home location - **CRIME OPPORTUNITY VARIABLES:** - Previous offenses in the area - **SOCIAL/BEHAVIORAL VARIABLES:** - Contagion (previous unrest) - **TEMPORAL/CONTROL VARIABLES:** - Time of day (not explicitly mentioned but implied in the context of the study) ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** - **Demographic Variables:** 2 - **Economic Variables:** 1 - **Land Use Variables:** 2 - **Infrastructure Variables:** 1 - **Distance/Accessibility Variables:** 2 - **Crime Opportunity Variables:** 1 - **Social/Behavioral Variables:** 1 - **Temporal/Control Variables:** 1 ## KEY FINDINGS - **Main Results:** Rioters tend to target areas close to their home locations and those with routine activity nodes and transport hubs. - **Significant Predictors:** Propinquity, presence of schools, presence of underground stations, previous offenses in the area. - **Model Performance:** Pseudo R-squared values range from .31 to .36. - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for SUoA choice are not specified. - **Extraction Confidence:** High",0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,"Rioters tend to target areas close to their home locations and those with routine activity nodes and transport hubs. - **Significant Predictors:** Propinquity, presence of schools, presence of underground stations, previous offenses in the area. - **Model Performance:** Pseudo R-squared values range from .31 to .36. - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for SUoA choice are not specified. - **Extraction Confidence:** High","Propinquity, presence of schools, presence of underground stations, previous offenses in the area. - **Model Performance:** Pseudo R-squared values range from .31 to .36. - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for SUoA choice are not specified. - **Extraction Confidence:** High",Pseudo R-squared values range from .31 to .36. - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for SUoA choice are not specified. - **Extraction Confidence:** High, ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for SUoA choice are not specified. - **Extraction Confidence:** High,Complete - **Missing Information:** Some details about spatial unit size and justification for SUoA choice are not specified. - **Extraction Confidence:** High,Some details about spatial unit size and justification for SUoA choice are not specified. - **Extraction Confidence:** High,High,0.9789473684210527,TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS *,TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS,2013,"Peter Baudains, Alex Braithwaite, Shane D Johnson",,,,,U.K. census Lower Super Output Areas (LSOAs),,LSOAs in Greater London,"4,765",, ## METHODOLOGY,"Peter Baudains, Alex Braithwaite, Shane D Johnson",2013,85,
15,Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,"(Rowan, Appleby & McGloin, 2022)",0.37,km2,0.37,small,Census_block_group,653,6249,"The paper does not report the spatial unit size directly but uses census block groups as the spatial unit. Baltimore City is divided into 653 census block groups. The average area per block group can be estimated by dividing the total area of Baltimore (238.5 km²) by the number of block groups (653), resulting in an average of approximately 0.37 km² per block group. ",,0007-0955,The British Journal of Criminology,62.0,3.0,United States,"Baltimore City, Maryland",Baltimore City,Group crime,2013-2016,Environmental Protection Agency; Baltimore City Police Department; American Community Survey ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Spatially lagged negative binomial regression,Negative binomial regression,Not mentioned,Not mentioned,"68,393 arrests",Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,14.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,"Activity nodes like bars and pedestrian-oriented street connectivity are significant predictors of group crime. Poverty increases group crime rates, while ethnic heterogeneity decreases them.","Number of bars, pedestrian-oriented street density, poverty, ethnic heterogeneity",Not mentioned,Not mentioned ## DATA QUALITY NOTES,Complete,Not mentioned,High,1.0,Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,2021,"Zachary R Rowan, Sarah Appleby, Jean Marie Mcgloin, Simon Fraser",The British Journal of Criminology,Not mentioned,Not mentioned,,Census block group,Average size: 0.14 square miles; Average population: 953 residents,Census block groups in Baltimore City,653,Average: 953 residents,Not mentioned ## METHODOLOGY,"Zachary R Rowan, Sarah Appleby, Jean Marie Mcgloin, Simon Fraser",2021,3,
16,Modelling taste heterogeneity regarding offence location choices (Census output area),"(Frith, 2019)",0.44,km2,0.44,small,"Census_output_
areas",616,1105,,10.1016/j.jocm.2019.100187,1755-5345,Journal of choice modelling,33.0,,UK,York,"The city of York, UK",Serious acquisitive crime,April 2008 to March 2012,Recorded and solved SAC data; Ordnance Survey; 2011 UK Census; UK Land Registry --- ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Discrete choice modeling,"Conditional logit, mixed logit, latent class logit",Stata 14,Not explicitly mentioned,"1,105 offence location choices by 498 offenders",Offenders choosing from neighbourhoods within York,"Maximum likelihood, expectation-maximization, hierarchical Bayes --- ## COMPLETE INDIVIDUAL VARIABLE LIST",8.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,Preference heterogeneity exists among offenders; LCL and ML models fit data better than CL model.,"Distance, distance to city centre, ethnic heterogeneity, residential churn, socioeconomic heterogeneity, previous offence location.",LCL and ML models fit data approximately 4.5 times better than CL model.,Not explicitly mentioned --- ## DATA QUALITY NOTES,Complete,"Journal name, DOI, filename, number of spatial units, population per unit",High,0.8707482993197279,Modelling taste heterogeneity regarding offence location choices,Modelling taste heterogeneity regarding offence location choices,2019,Michael J Frith,Not mentioned,Not mentioned,Approximately 270 km²,,Neighbourhoods (output areas),Not specified in exact units,Smallest units for which study variables are available,Not mentioned,Not mentioned,Based on availability of variables and spatial granularity --- ## METHODOLOGY,Michael J Frith,2019,13,Journal of Choice Modeling
17,Learning where to offend: Effects of past on future burglary locations (UK Census Lower Level Super Output Area (LSOA),"(Bernasco et al., 2015)",0.51,km2,0.51,small,Lower_Level_Super_Output_Area_(LSOA),1687,3337,,10.1016/j.apgeog.2015.03.014,0143-6228,Applied geography,60.0,,United Kingdom,West Midlands,Large metropolitan UK police force,Burglary,January 2007 to December 2012,Police-recorded burglary data ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Discrete spatial crime location choice approach,Multinomial logit model,Not mentioned,Not mentioned,"3,337 detected burglaries",Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,9.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,"Burglars are more likely to target areas they previously targeted, especially if the prior burglary was recent. Spatial proximity is also relevant.","Prior burglary in same LSOA, prior burglary in same MSOA, distance to burglar's residence, distance to city center, number of households, average house price, ethnic diversity, population turnover.",Pseudo R-squared value of .31. ## DATA QUALITY NOTES,,Complete,Not mentioned,High,0.7540983606557377,LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,2015,"Wim Bernasco, Shane D Johnson",Not mentioned,Not mentioned,Not mentioned,,UK Census Lower Level Super Output Area (LSOA),"Approximately 1,500 residents and 600 households",Defined on proximity and social homogeneity measures,"1,687","Approximately 1,500 residents",Not explicitly mentioned ## METHODOLOGY,"Wim Bernasco, Shane D Johnson",2015,88,
18,How do residential burglars select target areas? : A new approach to the analysis of criminal location choice,"(Bernasco & Nieuwbeerta, 2005)",0.65,km2,0.65,small,Neighborhood,89,548,,10.1093/bjc/azh070,1464-3529,The British Journal of Criminology,45.0,3.0,Netherlands,The Hague,"The Hague, Netherlands",Residential burglary,1996-2001,Police records ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Conditional logit model,Discrete spatial choice approach,Not specified,Not specified,"548 burglaries, 290 burglars",Not specified,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Ethnic heterogeneity - Residential mobility - **ECONOMIC VARIABLES:** - Real estate value - **LAND USE VARIABLES:** - Percentage of single-family dwellings - Number of residential units - **DISTANCE/ACCESSIBILITY VARIABLES:** - Proximity to burglar's home - Proximity to city centre - **CRIME OPPORTUNITY VARIABLES:** - Number of residential units ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 7 - **Demographic Variables:** 2 - **Economic Variables:** 1 - **Land Use Variables:** 2 - **Distance/Accessibility Variables:** 2 - **Crime Opportunity Variables:** 1 ## KEY FINDINGS - **Main Results:** Ethnic heterogeneity, single-family dwellings, and proximity to the offender's home increase the likelihood of a neighborhood being selected for burglary. - **Significant Predictors:** Ethnic heterogeneity, single-family dwellings, proximity to the offender's home, number of residential units - **Model Performance:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study area size, justification for SUoA choice, software used, sampling approach, estimation method details - **Extraction Confidence:** High",7.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,"Ethnic heterogeneity, single-family dwellings, and proximity to the offender's home increase the likelihood of a neighborhood being selected for burglary. - **Significant Predictors:** Ethnic heterogeneity, single-family dwellings, proximity to the offender's home, number of residential units - **Model Performance:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study area size, justification for SUoA choice, software used, sampling approach, estimation method details - **Extraction Confidence:** High","Ethnic heterogeneity, single-family dwellings, proximity to the offender's home, number of residential units - **Model Performance:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study area size, justification for SUoA choice, software used, sampling approach, estimation method details - **Extraction Confidence:** High","Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study area size, justification for SUoA choice, software used, sampling approach, estimation method details - **Extraction Confidence:** High",,"Complete - **Missing Information:** Study area size, justification for SUoA choice, software used, sampling approach, estimation method details - **Extraction Confidence:** High","Study area size, justification for SUoA choice, software used, sampling approach, estimation method details - **Extraction Confidence:** High",High,0.9953051643192489,HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,2005,"Wim Bernasco, Paul Nieuwbeerta, Richard Block, Henk Elffers, Jan De Keijser, Jasper Van Der Kemp, Peter Van Koppen",Not specified,Not specified,Not specified,,Neighbourhoods,Not specified,89 residential neighbourhoods in The Hague,89,Not specified,Not specified ## METHODOLOGY,"Wim Bernasco, Paul Nieuwbeerta, Richard Block, Henk Elffers, Jan De Keijser, Jasper Van Der Kemp, Peter Van Koppen",2005,362,
19,Co-offending and the Choice of Target Areas in Burglary,"(Bernasco, 2006)",0.65,km2,0.65,small,Neighborhood,89,1174,,,1544-4759,Journal of Investigative Psychology and Offender Profiling,3.0,3.0,Netherlands,The Hague,"The Hague, comprising 89 residential neighbourhoods",Residential burglary,1996-2004,Police records; real estate registration system; citizen registration --- ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Conditional logit model,Conditional logit,Not specified,All detected residential burglaries in The Hague,1174 burglaries involving 750 offenders,Neighbourhoods in The Hague,Maximum likelihood --- ## COMPLETE INDIVIDUAL VARIABLE LIST,9.0,0.0,3.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,Physical accessibility and proximity to home are significant factors for target area choice; no significant differences between solitary and group offenders.,"Physical accessibility, proximity to home neighbourhood",Not specified,Not mentioned --- ## DATA QUALITY NOTES,Complete,None noted,High,1.0,Co-offending and the Choice of Target Areas in Burglary,Co-offending and the Choice of Target Areas in Burglary,Not specified,Wim Bernasco,Not specified,Not available,0.65 km² per neighbourhood,,Neighbourhood,0.65 km²,Residential neighbourhoods in The Hague,89,Approximately 4952 residents,Focus on neighbourhood-level characteristics affecting burglary --- ## METHODOLOGY,Wim Bernasco,-,-,-
20,Burglar Target Selection: A Cross-national Comparison (NL),"(Townsley et al., 2015)",0.65,km2,0.65,small,Neighborhood,89,548,,https://doi.org/10.1177/0022427814541447,0022-4278,The Journal of Research in Crime and Delinquency,52.0,1.0,Netherlands,Netherlands (multiple cities),Part of cross-national comparison study focusing on Netherlands. Urban areas with varying target densities,Residential burglary,1996–2001 (The Hague); 2009 (Birmingham); 2006 (Brisbane),"Police services from The Hague, Birmingham, and Brisbane --- ## SPATIAL UNIT OF ANALYSIS (SUoA)",Cross-sectional,Discrete spatial choice approach,Conditional logit model,Not mentioned,Not explicitly mentioned,Not explicitly mentioned,Geographical spatial units where offenders may choose to offend,Maximum likelihood --- ## COMPLETE INDIVIDUAL VARIABLE LIST,6.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,"Proximity to an offender's home, the proportion of single-family dwellings, and the number of residential units are consistent predictors of burglary location choice.",Proximity to offender's home; Single-family dwellings; Residential units,Not explicitly mentioned,Not explicitly mentioned --- ## DATA QUALITY NOTES,Complete,"Journal name, DOI, exact study area size, number of spatial units, population per unit",High,0.9714285714285714,Burglar Target Selection: A Crossnational Comparison,Burglar Target Selection: A Crossnational Comparison,2015,Michael Townsley; Daniel Birks; Wim Bernasco; Stijn Ruiter; Shane D Johnson; Gentry White; Scott Baum,Not mentioned,Not mentioned,Not explicitly mentioned,,Neighborhoods (NL); Super Output Areas (UK); Statistical Local Areas (AU),Varies by region,Geographical spatial units where offenders may choose to offend,Not explicitly mentioned,Not explicitly mentioned,Based on equivalence in size of the known burglar population and number of targets --- ## METHODOLOGY,"Michael Townsley, Daniel Birks, Wim Bernasco, Stijn Ruiter, Shane D Johnson,  Gentry White, Scott Baum",2015,60,Journal of research in crime and delinquency
21,Effect Attractiveness Opportunity And Accessibility To Burglars On Residential Burglary Rates Of Urban Neighborhoods,"(Bernasco & Luykx, 2003)",0.65,km2,0.65,small,Neighborhood,89,26000,,,0011-1384,Criminology,41.0,3.0,Netherlands,The Hague,Urban neighborhoods in The Hague,Residential burglary,1996-2001,"Police records, statistical publication of the municipality of The Hague ## SPATIAL UNIT OF ANALYSIS (SUoA)",Cross-sectional,Regression analysis,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned ## COMPLETE INDIVIDUAL VARIABLE LIST,6.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,The study emphasizes the spatial distribution of burglary is conditioned by accessibility measures.,"SWEBER, proximity to CBD",Not mentioned,Not mentioned ## DATA QUALITY NOTES,Complete,Not mentioned,High,0.9830508474576272,"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS","EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS",2003,"Wim Bernasco, Floor Luykx",Not mentioned,Not mentioned,Not mentioned,,Neighborhood,Average size of 0.65 square kilometers,Urban neighborhoods in The Hague,89 neighborhoods,Average population of 4950 residents,Not mentioned ## METHODOLOGY,"Wim Bernasco, Floor Luykx",2003,197,
22,Where offenders choose to attack: A discrete choice model of robberies in Chicago,"(Bernasco & Block, 2009)",0.7,km2,0.7,small,Census_tract,844,12872,"The paper does not report the spatial unit size. It uses 844 census tracts in Chicago as spatial units but does not specify their area. We estimated the average tract size by dividing Chicago’s total land area (589 km²) by the number of tracts, resulting in an average of approximately 0.70 km² per tract.",https://doi.org/10.1111/j.1745-9125.2009.00140.x,0011-1384,Criminology,47.0,1.0,USA,Chicago,"Chicago, Illinois, USA",Robbery,1996-1998,U.S. Census Bureau; Chicago Police Department; Chicago Public Schools; Claritas ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Discrete choice model,Conditional logit model,Stata,Random sample of robbery cases,"6,000 robberies",Census tracts in Chicago,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,9.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,"Robbery location choice is influenced by proximity to home, racial/ethnic similarity, presence of crime attractors, and collective efficacy.","Distance, racial/ethnic dissimilarity, gang territorial dissimilarity, drug and prostitution arrests, high school presence, retail employment, collective efficacy.",Not specified,Not specified ## DATA QUALITY NOTES,Complete,None noted,High,1.0,WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO*,WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO,2009,Wim Bernasco; Richard Block,Not specified,Not specified,Not specified,,Census tract,Not specified,Census tracts in Chicago,844,Not specified,"Lowest level of aggregation for which ""collective efficacy"" measure was available ## METHODOLOGY","Wim Bernasco, Richard Block",2009,277,
23,Location Location Location”: Effects of Neighborhood and House Attributes on Burglars’ Target Selection',"(Vandeviver & Bernasco, 2020)",0.79,km2,0.79,small,Statistical_districts,193,679,,https://doi.org/10.1007/s10940-019-09431-y,0748-4518,Journal of Quantitative Criminology,36.0,4.0,Belgium,Ghent,"Ghent, Belgium",Residential burglary,2005-2014,"Police records, Census data ## SPATIAL UNIT OF ANALYSIS (SUoA)",Cross-sectional,Discrete spatial choice approach,Conditional logit model,Not mentioned,Not mentioned,"679 burglaries, 577 burglars",Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,9.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,"Burglars prefer residences in neighborhoods with lower residential density, detached residences, single-unit buildings, and renter-occupied residences. They are more likely to target residences in neighborhoods where they previously committed burglaries and residences nearby their home.","Residential density, building type, number of residential units, rental status, prior burglary activity in neighborhood, distance from offender's home",Not mentioned,Not mentioned ## DATA QUALITY NOTES,Complete,Not mentioned,High,1.0,"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection","""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Not mentioned,"Christophe Vandeviver, Wim Bernasco",Not mentioned,Not mentioned,Not mentioned,,Neighborhoods,Not mentioned,"193 residential neighborhoods in Ghent, Belgium",193 neighborhoods,Not mentioned,Not mentioned ## METHODOLOGY,"Christophe Vandeviver, Wim Bernasco",-,-,-
