Std_Index,Std_Title,Elicit_Index,Elicit_Title,Match_Score
32,"Do juvenile, young adult, and adult offenders target different places in the Chinese context?",17,"Do juvenile, young adult, and adult offenders target different places in the Chinese context?",1
33,Awareness×Opportunity: Testing Interactions Between Activity Nodes and Criminal Opportunity in Predicting Crime Location Choice,20,AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,0.850750656167979
34,The Importance of Importance Sampling: Exploring Methods of Sampling from Alternatives in Discrete Choice Models of Crime Location Choice,24,Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,0.759141121237227
35,Burglar Target Selection: A Cross-national Comparison (Super Output Areas - UK),36,Burglar Target Selection: A Crossnational Comparison,0.896396396396396
36,Location Choice of Snatching Offenders in Chennai City (Wards),19,Location Choice of Snatching Offenders in Chennai City,0.966666666666667
37,The Influence of Activity Space and Visiting Frequency on Crime Location Choice: Findings from an Online Self-Report Survey,18,THE INFLUENCE OF ACTIVITY SPACE AND VISITING FREQUENCY ON CRIME LOCATION CHOICE: FINDINGS FROM AN ONLINE SELF-REPORT SURVEY,1
38,Right place  right time? Making crime pattern theory time-specific,14,"Right place, right time? Making crime pattern theory time-specific",1
39,Burglars blocked by barriers The impact of physical and social barriers on residential burglars target location choices in China,8,Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,1
40,Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,3,Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,1
41,Biting Once Twice: the Influence of Prior on Subsequent Crime Location Choice,10,"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",0.995670995670996
42,Co-offenders' crime location choice: Do co-offending groups commit crimes in their shared awareness space?,13,CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,1
43,Family Matters: Effects of Family Members’ Residential Areas on Crime Location Choice*,9,FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE *,0.996031746031746
44,A Time for a Crime: Temporal Aspects of Repeat Offenders’ Crime Location Choices,6,A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,1
45,A Sentimental Journey To Crime : Effects of Residential History on Crime Location Choice,7,A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,0.903145326561525
46,Modeling micro-level crime location choice: Application of the discrete choice framework to crime at places,11,Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places,1
47,Effects of Residential history on Commercial Robbers' Crime Location Choices,5,Effects of residential history on commercial robbers' crime location choices,1
48,Formal evaluation of the impact of barriers and connectors on residential burglars' macro-level offending location choices,2,Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices,1
49,Burglar Target Selection: A Cross-national Comparison (statistical local areas - AU),36,Burglar Target Selection: A Crossnational Comparison,0.881856540084388
50,Target Selection Models with Preference Variation Between Offenders,4,Target Selection Models with Preference Variation Between Offenders,1
