Title_Elicit,Year_Elicit,Authors_Elicit,Journal_Elicit,DOI_Elicit,Country,City_Region,Study_Area_Size,Study_Area_Description,Crime_Type,Crime_Types_All,Study_Period,Data_Sources,SUoA_Type,SUoA_Size_Elicit,SUoA_Description,Number_of_Units_Elicit,Population_per_Unit,SUoA_Justification,Study_Design,Statistical_Method,Model_Type,Software_Used,Sampling_Approach,Sample_Size_Elicit,Choice_Set_Definition,Estimation_Method,Total_Variables,Demographic_Vars,Economic_Vars,LandUse_Vars,Infrastructure_Vars,Distance_Vars,Crime_Opportunity_Vars,Social_Vars,Environmental_Vars,Temporal_Vars,Main_Results,Significant_Predictors,Model_Performance,Scale_Effects,Variable_Info_Quality,Missing_Information,Extraction_Confidence,Elicit_Index,Title_Original_Elicit,Authors_Original,Year_Original,Citation_Count,Venue
Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places,Not specified,Wim Bernasco,Not specified,Not specified,Netherlands,Greater The Hague Area,400 sq. km,"The area comprises the city of The Hague, several smaller cities including Zoetermeer and Delft, and a number of smaller towns and villages.",Burglary,,2002-2007,Police files; Statistics Netherlands --- ## SPATIAL UNIT OF ANALYSIS (SUoA),Postal code area,Approximately the size of a football field,Contains on average 18 residential units and 40 residents; nearly always on the same street and not subdivided by physical barriers.,"23,984 postal code areas",Average of 40 residents,Matches the scale at which many theories of crime at places are articulated and may appeal to crime prevention practitioners. --- ## METHODOLOGY,Cross-sectional,Discrete choice framework,Multinomial logit model; Spatial competition model,Not specified,Random sample of alternatives from the choice set,"1,871 journey-to-burglary trips","Postal code area of the burglary and a random sample of 1,499 out of 23,984 other residential postal code areas",Maximum likelihood --- ## COMPLETE INDIVIDUAL VARIABLE LIST,5,2,1,1,0,1,1,0,0,0,Proximity and the number of residential properties increase the likelihood of an area being selected for burglary. Spatial competition indicates areas with many nearby residential units are less likely to be targeted.,"Proximity, number of properties, spatial competition factor",Not specified,Smaller spatial units provide more precise measurement and increased statistical power. --- ## DATA QUALITY NOTES,Complete,"Publication year, journal name, DOI, filename not provided",High,10,Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places,Wim Bernasco,-,-,-
The Importance of Importance Sampling,Not specified,"Wim Medvedev, Oleg N Polaschek, Sophie Curtis-Ham, Wim Bernasco, Oleg N Medvedev, Devon L L Polaschek",Not specified,Not specified,New Zealand,Not specified,Not specified,National dataset,"Residential and non-residential burglary, commercial and personal robbery, extra-familial sex offenses",,2009-2018,New Zealand Police data ## SPATIAL UNIT OF ANALYSIS (SUoA),NZ Census Statistical Area 2 (SA2),Not specified,Neighborhoods,2153 SA2s,Not specified,Not specified ## METHODOLOGY,Cross-sectional,Conditional logit model,Discrete choice model,R (clogit function from the survival package),Importance sampling and simple random sampling,Not specified,SA2s,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** Not specified - **ECONOMIC VARIABLES:** Not specified - **LAND USE VARIABLES:** Not specified - **INFRASTRUCTURE VARIABLES:** Not specified - **DISTANCE/ACCESSIBILITY VARIABLES:** Not specified - **CRIME OPPORTUNITY VARIABLES:** Not specified - **SOCIAL/BEHAVIORAL VARIABLES:** Not specified - **ENVIRONMENTAL VARIABLES:** Not specified - **TEMPORAL/CONTROL VARIABLES:** Not specified - **OTHER VARIABLES:** Not specified ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** Not specified - **Demographic Variables:** Not specified - **Economic Variables:** Not specified - **Land Use Variables:** Not specified - **Infrastructure Variables:** Not specified - **Distance/Accessibility Variables:** Not specified - **Crime Opportunity Variables:** Not specified - **Social/Behavioral Variables:** Not specified - **Environmental Variables:** Not specified - **Temporal/Control Variables:** Not specified - **Other Variables:** Not specified ## KEY FINDINGS - **Main Results:** Importance sampling produced results more consistent with those produced without sampling compared to simple random sampling. - **Significant Predictors:** Not specified - **Model Performance:** Not specified - **Scale Effects:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Limited - **Missing Information:** Many details not specified - **Extraction Confidence:** Medium,0,0,0,0,0,0,0,0,0,0,Importance sampling produced results more consistent with those produced without sampling compared to simple random sampling. - **Significant Predictors:** Not specified - **Model Performance:** Not specified - **Scale Effects:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Limited - **Missing Information:** Many details not specified - **Extraction Confidence:** Medium,Not specified - **Model Performance:** Not specified - **Scale Effects:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Limited - **Missing Information:** Many details not specified - **Extraction Confidence:** Medium,Not specified - **Scale Effects:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Limited - **Missing Information:** Many details not specified - **Extraction Confidence:** Medium,Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Limited - **Missing Information:** Many details not specified - **Extraction Confidence:** Medium,Limited - **Missing Information:** Many details not specified - **Extraction Confidence:** Medium,Many details not specified - **Extraction Confidence:** Medium,Medium,11,The Importance of Importance Sampling,"Wim Medvedev, Oleg N Polaschek, Sophie Curtis-Ham, Wim Bernasco, Oleg N Medvedev, Devon L L Polaschek",-,-,-
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Not specified,Marre Lammers,Not specified,Not specified,Netherlands,Greater The Hague region,Not specified,Greater The Hague region,Not specified,,2006-2009,"Police information system, population registration data ## SPATIAL UNIT OF ANALYSIS (SUoA)",Four-digit postal code areas,Not specified,Four-digit postal code areas,142,Not specified,Not specified ## METHODOLOGY,Cross-sectional,Discrete spatial choice model,Conditional logit model,Not specified,Not specified,"4,654 offenders",Not specified,Not specified ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Current home location - Previous home location - Previous crime location - **ECONOMIC VARIABLES:** - Not specified - **LAND USE VARIABLES:** - Not specified - **INFRASTRUCTURE VARIABLES:** - Not specified - **DISTANCE/ACCESSIBILITY VARIABLES:** - Not specified - **CRIME OPPORTUNITY VARIABLES:** - Not specified - **SOCIAL/BEHAVIORAL VARIABLES:** - Not specified - **ENVIRONMENTAL VARIABLES:** - Not specified - **TEMPORAL/CONTROL VARIABLES:** - Not specified - **OTHER VARIABLES:** - Not specified ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** Not specified - **Demographic Variables:** 3 - **Economic Variables:** 0 - **Land Use Variables:** 0 - **Infrastructure Variables:** 0 - **Distance/Accessibility Variables:** 0 - **Crime Opportunity Variables:** 0 - **Social/Behavioral Variables:** 0 - **Environmental Variables:** 0 - **Temporal/Control Variables:** 0 - **Other Variables:** 0 ## KEY FINDINGS - **Main Results:** Co-offending groups are more likely to commit crimes in areas known to multiple offenders. - **Significant Predictors:** Areas known to multiple offenders. - **Model Performance:** Not specified - **Scale Effects:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some information not specified - **Extraction Confidence:** Medium,0,3,0,0,0,0,0,0,0,0,Co-offending groups are more likely to commit crimes in areas known to multiple offenders. - **Significant Predictors:** Areas known to multiple offenders. - **Model Performance:** Not specified - **Scale Effects:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some information not specified - **Extraction Confidence:** Medium,Areas known to multiple offenders. - **Model Performance:** Not specified - **Scale Effects:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some information not specified - **Extraction Confidence:** Medium,Not specified - **Scale Effects:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some information not specified - **Extraction Confidence:** Medium,Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some information not specified - **Extraction Confidence:** Medium,Partial - **Missing Information:** Some information not specified - **Extraction Confidence:** Medium,Some information not specified - **Extraction Confidence:** Medium,Medium,12,CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Marre Lammers,-,-,-
"Right place, right time? Making crime pattern theory time-specific",2021,"Sabine E M Van Sleeuwen, Stijn Ruiter, Wouter Steenbeek",Not mentioned,Not mentioned,Netherlands,The Hague and North-Holland,Not mentioned,Western part of the Netherlands,"Various (residential burglary, theft of/from a bicycle, car or other (motor) vehicle, theft from a shop/shoplifting, theft (of an object) from a person, robbery, assault, vandalism)",,2017,"Police data, online survey ## SPATIAL UNIT OF ANALYSIS (SUoA)",Neighbourhoods,Not mentioned,"13,305 unique neighbourhoods in the Netherlands","13,305",Not mentioned,Not mentioned ## METHODOLOGY,Cross-sectional,Conditional logit model,Discrete choice model,Not mentioned,Online survey,71 offences committed by 30 offenders,Not mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** Not mentioned - **ECONOMIC VARIABLES:** Not mentioned - **LAND USE VARIABLES:** Not mentioned - **INFRASTRUCTURE VARIABLES:** Not mentioned - **DISTANCE/ACCESSIBILITY VARIABLES:** Not mentioned - **CRIME OPPORTUNITY VARIABLES:** Not mentioned - **SOCIAL/BEHAVIORAL VARIABLES:** Not mentioned - **ENVIRONMENTAL VARIABLES:** Not mentioned - **TEMPORAL/CONTROL VARIABLES:** Not mentioned - **OTHER VARIABLES:** Neighbourhood routinely visited at same time of day as crime event, Neighbourhood routinely visited at different time of day as crime event ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 2 - **Demographic Variables:** 0 - **Economic Variables:** 0 - **Land Use Variables:** 0 - **Infrastructure Variables:** 0 - **Distance/Accessibility Variables:** 0 - **Crime Opportunity Variables:** 0 - **Social/Behavioral Variables:** 0 - **Environmental Variables:** 0 - **Temporal/Control Variables:** 0 - **Other Variables:** 2 ## KEY FINDINGS - **Main Results:** Offenders are more likely to commit crime in neighbourhoods they have regularly visited at the same time of day than in neighbourhoods they have regularly visited at different times of day. - **Significant Predictors:** Neighbourhood routinely visited at same time of day as crime event - **Model Performance:** Pseudo-R² = 0.27 - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial units and variable lists are not mentioned. - **Extraction Confidence:** High",2,0,0,0,0,0,0,0,0,0,Offenders are more likely to commit crime in neighbourhoods they have regularly visited at the same time of day than in neighbourhoods they have regularly visited at different times of day. - **Significant Predictors:** Neighbourhood routinely visited at same time of day as crime event - **Model Performance:** Pseudo-R² = 0.27 - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial units and variable lists are not mentioned. - **Extraction Confidence:** High,Neighbourhood routinely visited at same time of day as crime event - **Model Performance:** Pseudo-R² = 0.27 - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial units and variable lists are not mentioned. - **Extraction Confidence:** High,Pseudo-R² = 0.27 - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial units and variable lists are not mentioned. - **Extraction Confidence:** High,Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial units and variable lists are not mentioned. - **Extraction Confidence:** High,Complete - **Missing Information:** Some details about spatial units and variable lists are not mentioned. - **Extraction Confidence:** High,Some details about spatial units and variable lists are not mentioned. - **Extraction Confidence:** High,High,13,"Right place, right time? Making crime pattern theory time-specific","Sabine E M Van Sleeuwen, Stijn Ruiter, Wouter Steenbeek",-,-,-
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,2021,"Dongping Long, Lin Liu, Mingen Xu, Jiaxin Feng, Jianguo Chen, Li He",Not mentioned,Not mentioned,China,ZG City,"1971 communities, average size 1.62 km²","ZG City, China",Street robbery,,2012-2016,ZG Municipal Public Security Bureau ## SPATIAL UNIT OF ANALYSIS (SUoA),Communities,Average size 1.62 km²,1971 communities in ZG City,1971,Not mentioned,Not mentioned ## METHODOLOGY,Cross-sectional,Discrete spatial choice modeling,Conditional logit model,STATA 13.0,Not mentioned,4358 street robbers,Not mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Ambient population (/10,000) - Surveillance cameras (#) - **LAND USE VARIABLES:** - Malls and supermarkets (#) - Grocers (#) - Terminal markets (#) - Bars and clubs (#) - Cybercafés (#) - Sports stadiums (#) - High schools (#) - ATMs and banks (#) - Carparks (#) - Bus stops (#) - Transportation hubs (#) - Subway stations (#) - **INFRASTRUCTURE VARIABLES:** - Density of road network (km/km²) - **DISTANCE/ACCESSIBILITY VARIABLES:** - Log distance - **SOCIAL/BEHAVIORAL VARIABLES:** - Proportion of migrants (%) - Proportion of youngsters (%) - Socioeconomic heterogeneity (10%) ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 19 - **Demographic Variables:** 2 - **Land Use Variables:** 12 - **Infrastructure Variables:** 1 - **Distance/Accessibility Variables:** 1 - **Social/Behavioral Variables:** 3 ## KEY FINDINGS - **Main Results:** Ambient population and surveillance cameras significantly hinder street robbers' crime location choice. - **Significant Predictors:** Ambient population, surveillance cameras, malls and supermarkets, bus stops. - **Model Performance:** Pseudo R² improved by including ambient population and surveillance cameras. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High",19,2,0,12,1,1,0,3,0,0,"Ambient population and surveillance cameras significantly hinder street robbers' crime location choice. - **Significant Predictors:** Ambient population, surveillance cameras, malls and supermarkets, bus stops. - **Model Performance:** Pseudo R² improved by including ambient population and surveillance cameras. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High","Ambient population, surveillance cameras, malls and supermarkets, bus stops. - **Model Performance:** Pseudo R² improved by including ambient population and surveillance cameras. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High",Pseudo R² improved by including ambient population and surveillance cameras. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High,,Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High,Not mentioned - **Extraction Confidence:** High,High,14,Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,"Dongping Long, Lin Liu, Mingen Xu, Jiaxin Feng, Jianguo Chen, Li He",2021,38,Cities
Do Migrant and Native Robbers Target Different Places?,2021,Liu,ISPRS Int. J. Geo-Inf.,Not mentioned,China,ZG City,1971 neighborhoods with an average area of 1.62 square kilometers,"ZG City, one of the largest cities in Southeast China",Street robbery,,2012 to 2016,Arrest data from ZG City's Public Security Department; neighborhood characteristics data; POI data; traffic road network vector map data; bus stop data; mobile phone data; census data ## SPATIAL UNIT OF ANALYSIS (SUoA),Neighborhoods,Average area of 1.62 square kilometers,1971 neighborhoods in ZG City,1971,Not mentioned,Not mentioned ## METHODOLOGY,Cross-sectional,Discrete spatial choice modeling,Conditional logit selection models,Stata 13.0,Random selection of migrant robbers for comparison with native robbers,"4358 street robbers (3650 migrant, 708 native)",Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,24,2,12,0,3,1,4,2,1,2,Significant spatial differences in crime location choices between migrant and native robbers.,"Wholesale markets, sports stadiums, transportation hubs, subway stations for migrant robbers; proportion of migrants for both groups.",Pseudo R² values greater than 0.25.,Not mentioned. ## DATA QUALITY NOTES,Complete,Not mentioned,High,15,Do Migrant and Native Robbers Target Different Places?, Liu,2021,3,ISPRS Int. J. Geo Inf.
"Do juvenile, young adult, and adult offenders target different places in the Chinese context?",2022,Dongping Long; Lin Liu,Not mentioned,Not mentioned,China,ZG City,1971 neighborhood units with an average area of 1.62 km²,"ZG City, a major city in the southeast coastal region of China",Street robbery,,2012 to 2016,ZG City Public Security Bureau ## SPATIAL UNIT OF ANALYSIS (SUoA),Neighborhood units,Average area of 1.62 km²,1971 neighborhood units in ZG City,1971,Not mentioned,Not mentioned ## METHODOLOGY,Cross-sectional,Conditional logit selection model,Conditional logit,Not mentioned,Not mentioned,7860 street robberies,Not mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Age group (juvenile, young adult, adult) - **LAND USE VARIABLES:** - Bars and clubs - Cybercafés - Schools - Transportation hubs - Wholesale markets - Malls and supermarkets - Bus stops - Subway stations - Car parks - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance of journey to crime - **SOCIAL/BEHAVIORAL VARIABLES:** - Migrants proportion - Young adults proportion ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 12 - **Demographic Variables:** 1 - **Land Use Variables:** 9 - **Distance/Accessibility Variables:** 1 - **Social/Behavioral Variables:** 2 ## KEY FINDINGS - **Main Results:** Offenders prefer areas frequented by their age group, close to their residence, and with low social cohesion. - **Significant Predictors:** Cybercafés, transportation hubs, schools, distance of journey to crime, migrants proportion, young adults proportion. - **Model Performance:** Pseudo R² value >0.20. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High",12,1,0,9,0,1,0,2,0,0,"Offenders prefer areas frequented by their age group, close to their residence, and with low social cohesion. - **Significant Predictors:** Cybercafés, transportation hubs, schools, distance of journey to crime, migrants proportion, young adults proportion. - **Model Performance:** Pseudo R² value >0.20. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High","Cybercafés, transportation hubs, schools, distance of journey to crime, migrants proportion, young adults proportion. - **Model Performance:** Pseudo R² value >0.20. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High",Pseudo R² value >0.20. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High,,Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High,Not mentioned - **Extraction Confidence:** High,High,16,"Do juvenile, young adult, and adult offenders target different places in the Chinese context?","Dongping Long, Lin Liu",2022,3,Cities
THE INFLUENCE OF ACTIVITY SPACE AND VISITING FREQUENCY ON CRIME LOCATION CHOICE: FINDINGS FROM AN ONLINE SELF-REPORT SURVEY,2019,"Stijn Ruiter, Barbara Menting, Marre Lammers, Wim Bernasco",Not mentioned,Not mentioned,Netherlands,Entire Netherlands,Not mentioned,Entire Netherlands,"Various (violent offences, thefts, vandalism, drug trafficking, burglaries, robberies, weapons trafficking)",,2013-2016,Online self-report survey ## SPATIAL UNIT OF ANALYSIS (SUoA),Neighbourhoods,Not mentioned,Smallest statistical units for detailed socio-economic data,"12,821",Not mentioned,Not mentioned ## METHODOLOGY,Cross-sectional,Conditional logit model,Conditional logit,Not mentioned,Online self-report survey,140 offences,Not mentioned,"Random utility maximization (RUM) theory assumptions ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** Not mentioned - **ECONOMIC VARIABLES:** Not mentioned - **LAND USE VARIABLES:** Not mentioned - **INFRASTRUCTURE VARIABLES:** Not mentioned - **DISTANCE/ACCESSIBILITY VARIABLES:** Not mentioned - **CRIME OPPORTUNITY VARIABLES:** Not mentioned - **SOCIAL/BEHAVIORAL VARIABLES:** Not mentioned - **ENVIRONMENTAL VARIABLES:** Not mentioned - **TEMPORAL/CONTROL VARIABLES:** Not mentioned - **OTHER VARIABLES:** Activity nodes (residential area of offender, residential areas of other people known to the offender, school/work locations, leisure activity locations), visiting frequency ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** Not mentioned - **Demographic Variables:** Not mentioned - **Economic Variables:** Not mentioned - **Land Use Variables:** Not mentioned - **Infrastructure Variables:** Not mentioned - **Distance/Accessibility Variables:** Not mentioned - **Crime Opportunity Variables:** Not mentioned - **Social/Behavioral Variables:** Not mentioned - **Environmental Variables:** Not mentioned - **Temporal/Control Variables:** Not mentioned - **Other Variables:** Not mentioned ## KEY FINDINGS - **Main Results:** Offending is more likely in activity spaces and increases with visiting frequency. - **Significant Predictors:** Activity nodes, visiting frequency - **Model Performance:** Pseudo-R² = 0.512 (higher accuracy), Pseudo-R² = 0.442 (lower accuracy) - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some details not mentioned - **Extraction Confidence:** High",0,0,0,0,0,0,0,0,0,0,"Offending is more likely in activity spaces and increases with visiting frequency. - **Significant Predictors:** Activity nodes, visiting frequency - **Model Performance:** Pseudo-R² = 0.512 (higher accuracy), Pseudo-R² = 0.442 (lower accuracy) - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some details not mentioned - **Extraction Confidence:** High","Activity nodes, visiting frequency - **Model Performance:** Pseudo-R² = 0.512 (higher accuracy), Pseudo-R² = 0.442 (lower accuracy) - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some details not mentioned - **Extraction Confidence:** High","Pseudo-R² = 0.512 (higher accuracy), Pseudo-R² = 0.442 (lower accuracy) - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some details not mentioned - **Extraction Confidence:** High",Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some details not mentioned - **Extraction Confidence:** High,Partial - **Missing Information:** Some details not mentioned - **Extraction Confidence:** High,Some details not mentioned - **Extraction Confidence:** High,High,17,THE INFLUENCE OF ACTIVITY SPACE AND VISITING FREQUENCY ON CRIME LOCATION CHOICE: FINDINGS FROM AN ONLINE SELF-REPORT SURVEY,"Stijn Ruiter, Barbara Menting, Marre Lammers, Wim Bernasco",2019,33,British Journal of Criminology
Location Choice of Snatching Offenders in Chennai City,2021,"K Kuralarasan, Wim Bernasco",Not mentioned,Not mentioned,India,Chennai City,2.18 km² (average surface area of wards),Greater Chennai City Corporation,Snatching,,August 2010 to July 2017,Police-recorded snatching offenses ## SPATIAL UNIT OF ANALYSIS (SUoA),Wards,2.18 km² (average surface area),201 wards in Chennai City,201 wards,"33,195 (average population per ward)",Not explicitly mentioned ## METHODOLOGY,Cross-sectional,Discrete crime location choice models,Conditional logit model,Not mentioned,Not mentioned,1573 snatching offenses,Not mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Offender residence location - Prior offending locations - **LAND USE VARIABLES:** - Presence of crime generators and attractors - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance from offender's home to crime location - **CRIME OPPORTUNITY VARIABLES:** - Prior snatching offenses in the location - **OTHER VARIABLES:** - Area (km²) - Population (# 1000) ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 6 - **Demographic Variables:** 2 - **Land Use Variables:** 1 - **Distance/Accessibility Variables:** 1 - **Crime Opportunity Variables:** 1 - **Other Variables:** 1 ## KEY FINDINGS - **Main Results:** Offenders prefer locations closer to their residence and tend to re-offend in previously targeted areas. - **Significant Predictors:** Distance from home, prior offending locations - **Model Performance:** Not mentioned - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details on methodology and data quality not mentioned - **Extraction Confidence:** High",6,2,0,1,0,1,1,0,0,0,"Offenders prefer locations closer to their residence and tend to re-offend in previously targeted areas. - **Significant Predictors:** Distance from home, prior offending locations - **Model Performance:** Not mentioned - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details on methodology and data quality not mentioned - **Extraction Confidence:** High","Distance from home, prior offending locations - **Model Performance:** Not mentioned - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details on methodology and data quality not mentioned - **Extraction Confidence:** High",Not mentioned - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details on methodology and data quality not mentioned - **Extraction Confidence:** High,Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details on methodology and data quality not mentioned - **Extraction Confidence:** High,Complete - **Missing Information:** Some details on methodology and data quality not mentioned - **Extraction Confidence:** High,Some details on methodology and data quality not mentioned - **Extraction Confidence:** High,High,18,Location Choice of Snatching Offenders in Chennai City,"K Kuralarasan, Wim Bernasco",2021,10,Journal of quantitative criminology
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,2018,Barbara Menting,Not specified,Not specified,Netherlands,The Hague area,Not specified,Three municipalities in the greater The Hague area,Any-crime-type offences,,2006-2009,"Police information system, population registration data, LISA data, community survey ## SPATIAL UNIT OF ANALYSIS (SUoA)",Four-digit postal code areas,Not specified,Postal code areas in the study area,76,Not specified,Not specified ## METHODOLOGY,Cross-sectional,Discrete choice models,Conditional logit model,Not specified,Not specified,"13,088 offences",Not specified,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Residential area of offender - Residential area of family - **CRIME OPPORTUNITY VARIABLES:** - Number of bars/restaurants/hotels - Collective efficacy ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 4 - **Demographic Variables:** 2 - **Crime Opportunity Variables:** 2 ## KEY FINDINGS - **Main Results:** Residential areas of offenders and their family were more often targeted than areas where they did not live. Areas with many bars/restaurants/hotels were more likely to be targeted, while areas with high collective efficacy were less likely to be targeted. - **Significant Predictors:** Residential area of offender, residential area of family, number of bars/restaurants/hotels, collective efficacy - **Model Performance:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not specified - **Extraction Confidence:** High",4,2,0,0,0,0,2,0,0,0,"Residential areas of offenders and their family were more often targeted than areas where they did not live. Areas with many bars/restaurants/hotels were more likely to be targeted, while areas with high collective efficacy were less likely to be targeted. - **Significant Predictors:** Residential area of offender, residential area of family, number of bars/restaurants/hotels, collective efficacy - **Model Performance:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not specified - **Extraction Confidence:** High","Residential area of offender, residential area of family, number of bars/restaurants/hotels, collective efficacy - **Model Performance:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not specified - **Extraction Confidence:** High",Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not specified - **Extraction Confidence:** High,,Complete - **Missing Information:** Not specified - **Extraction Confidence:** High,Not specified - **Extraction Confidence:** High,High,19,AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Barbara Menting,2018,14,
