"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Dewinter M.; Vandeviver C.; Dau P.M.; Vander Beken T.; Witlox F.","Dewinter, Maite (57215811040); Vandeviver, Christophe (55503243900); Dau, Philipp M. (57272603900); Vander Beken, Tom (16033518700); Witlox, Frank (6602186586)","57215811040; 55503243900; 57272603900; 16033518700; 6602186586","The impact of strict measures as a result of the COVID-19 pandemic on the spatial pattern of the demand for police: case study Antwerp (Belgium)","2021","Crime Science","10","1","20","","","","7","10.1186/s40163-021-00156-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115812957&doi=10.1186%2fs40163-021-00156-7&partnerID=40&md5=5860d682bf886b350014f407dd73469d","COVID-19 impacts the daily lives of millions of people. This radical change in our daily activities affected many aspects of life, but acted as well as a natural experiment for research into the spatial distribution of 911 calls. We analyse the impact of the COVID-19 measures on the spatial pattern of police interventions. Crime is not uniformly distributed across street segments, but how does COVID-19 affect these spatial patterns? To this end, Gini coefficients are calculated and a proportion differences spatial point pattern test is applied to compare the similarity of the patterns of incidents before, during, and after the first lockdown in Antwerp, Belgium. With only essential mobility being allowed, the emergency call pattern has not significantly changed before, during or after this lockdown, however, a qualitative shift in police officer’s daily work may have had an effect on the daily operation of the Antwerp police force. © 2021, The Author(s).","Emergency call data; Lockdown; Police demand; Spatial point pattern test; Street segments","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85115812957"
"Zander K.K.; Garnett S.T.","Zander, Kerstin K. (57205449913); Garnett, Stephen T. (7004285282)","57205449913; 7004285282","Trade-offs in destination choices among the urban populations in three Southeast Asian countries","2021","Population, Space and Place","27","8","e2460","","","","2","10.1002/psp.2460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101908985&doi=10.1002%2fpsp.2460&partnerID=40&md5=b3a0bd6178a2e75cecca453f41518a88","Internal migration of the urban population is substantial with diverse drivers, barriers, and reasons for destination choices. Whereas internal mobility in Organisation for Economic Co-operation and Development (OECD) countries is well-studied under the umbrella of residential, labour, amenity, and retirement migration, such research in non-OECD countries is rare and limited to the economic aspects of migration. In this study, we assess the relative importance of social, environmental, and amenity factors in urban peoples' destination choices within three countries (Indonesia, Malaysia, and the Philippines) through an online survey. Concerns about safety and high living costs at potential destinations were among the most important factors in mobility decisions, whereas amenities were the least important. A high risk from climatic hazards, particularly from severe ones such as flooding and typhoons, was also an influential destination disincentive, particularly for people in Malaysia and the Philippines, that is, likely to grow in importance as climate change accelerates unabated. To maintain the attractiveness of highly exposed cities and regions to skilled people, urban planners must minimise these risks, for example, through crime control, flood disaster management, and early warning systems. © 2021 The Authors. Population, Space and Place published by John Wiley & Sons Ltd.","adaptation; best–worst scaling; climate change; internal migration; labour mobility; location choice","Indonesia; Malaysia; Philippines; climate change; internal migration; labor mobility; OECD; trade-off; urban population","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85101908985"
"","","","2021 2nd Sustainable Cities Latin America Conference, SCLA 2021","2021","2021 2nd Sustainable Cities Latin America Conference, SCLA 2021","","","","","","130","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116404436&partnerID=40&md5=c7991c4b75b3628e8bec9b86bf941db1","The proceedings contain 23 papers. The topics discussed include: mobile application to improve the learning of children with attention deficit disorder and hyperactivity; discovering urban mobility patterns and demand for uses of urban spaces from mobile phone data; e-waste collection in the reverse logistics systems and case study in Rio de Janeiro, RJ, Brazil; exploratory analysis of crime behavior in the city of Medellin; modelling e-waste management data in smart cities; cloud-based ecosystem proposal for applying an intelligent virtual assistant in online education; automatic road extraction in small urban areas of developing countries using drone imagery and image translation; and standardization for the connection of electric vehicles: Colombian case.","","","Conference review","Final","","Scopus","2-s2.0-85116404436"
"Nirzalin, Nirzalin@unimal.ac.id; Febriandi Y.","Nirzalin (57218228488); Febriandi, Yogi (57218220344)","57218228488; 57218220344","Teungku dayah agency and religious social capital on drug eradication in aceh, Indonesia","2020","Jurnal Ilmu Sosial dan Ilmu Politik","23","3","","210","222","12","10","10.22146/jsp.51061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088392628&doi=10.22146%2fjsp.51061&partnerID=40&md5=653200bbefacbd6fe2caa941e10f4fae","This article examines the success of religious social capital and the agency of teungku dayah (Islamic scholars who belong to traditional religious school) in the collective drug eradication movement in Ujong Pacu, Lhokseumawe-Aceh, Indonesia. The role of religious social capital in combating the drugs market in global drug policy has been less studied. This study provides a quite different view from most scholars who work for combating drug dealers by engaging participation of religious communities in rural society. The agency of teungku dayah succeeded in mobilizing the villagers due to the social capital that bonded the community based on religious ties. The article used live-in method, observation, in-depth and interviews to build a sociological imagination about the patterns of social practice of the people who become the subject of the research. The researchers lived in one of the villager's houses, participated in their discussions, listened to the gossip, worshipped with them and were involved in certain jobs carried out by the community members who targeted informants. Using religious social capital, this article argues that teungku dayah effectively used the social and religious capital of the Ujong Pacu community to conduct drug eradication. Religious social capital has strong ties in unifying elements of the people in the same religion, moreover it becomes an energy that keeps motivating the community to run anti-drugs movement and driving out the drug addicts in Ujong Pacu, Lhokseumawe-Aceh. © RADCLIFFE CARDIOLOGY 2020.","Aceh; Drug eradication; Islamic traditionalist scholars; Religious social capital","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85088392628"
"Trovato R.; Canè S.; Petrova V.; Sartoris S.; Ugel S.; De Sanctis F.","Trovato, Rosalinda (56906828600); Canè, Stefania (6602234945); Petrova, Varvara (56770829800); Sartoris, Silvia (56005024600); Ugel, Stefano (14120516300); De Sanctis, Francesco (56188636900)","56906828600; 6602234945; 56770829800; 56005024600; 14120516300; 56188636900","The Engagement Between MDSCs and Metastases: Partners in Crime","2020","Frontiers in Oncology","10","","165","","","","54","10.3389/fonc.2020.00165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080886405&doi=10.3389%2ffonc.2020.00165&partnerID=40&md5=be9d905853dd76fc3961207e314f2461","Tumor metastases represent the major cause of cancer-related mortality, confirming the urgent need to identify key molecular pathways and cell-associated networks during the early phases of the metastatic process to develop new strategies to either prevent or control distal cancer spread. Several data revealed the ability of cancer cells to establish a favorable microenvironment, before their arrival in distant organs, by manipulating the cell composition and function of the new host tissue where cancer cells can survive and outgrow. This predetermined environment is termed “pre-metastatic niche” (pMN). pMN development requires that tumor-derived soluble factors, like cytokines, growth-factors and extracellular vesicles, genetically and epigenetically re-program not only resident cells (i.e., fibroblasts) but also non-resident cells such as bone marrow-derived cells. Indeed, by promoting an “emergency” myelopoiesis, cancer cells switch the steady state production of blood cells toward the generation of pro-tumor circulating myeloid cells defined as myeloid-derived suppressor cells (MDSCs) able to sustain tumor growth and dissemination. MDSCs are a heterogeneous subset of myeloid cells with immunosuppressive properties that sustain metastatic process. In this review, we discuss current understandings of how MDSCs shape and promote metastatic dissemination acting in each fundamental steps of cancer progression from primary tumor to metastatic disease. © Copyright © 2020 Trovato, Canè, Petrova, Sartoris, Ugel and De Sanctis.","immunosuppression; MDSCs (myeloid-derived suppressor cells); metastases; metastatic process; pre-metastatic niche","aromatic hydrocarbon receptor; cytokine; danvatirsen; entinostat; epacadostat; gelatinase B; granulocyte colony stimulating factor; granulocyte macrophage colony stimulating factor; growth factor; high mobility group B1 protein; hypoxia inducible factor 1alpha; intercellular adhesion molecule 1; leronlimab; linrodostat; maraviroc; matrilysin; naringenin; pathogen associated molecular pattern; programmed death 1 ligand 1; protein kinase Fer; ruxolitinib; STAT3 protein; sunitinib; tadalafil; transcription factor FOXP3; transcription factor GATA 3; tumor necrosis factor; unindexed drug; vascular cell adhesion molecule 1; vicriviroc; angiogenesis; antigen presenting cell; autoimmunity; bone marrow cell; breast cancer; cancer cell; cancer growth; cancer mortality; cell composition; cell survival; epigenetics; exosome; fibroblast; human; human cell; liver metastasis; lung metastasis; metastasis; mouse; myeloid-derived suppressor cell; myelopoiesis; nasopharynx carcinoma; nonhuman; primary tumor; regulatory T lymphocyte; renal cell carcinoma; Review; steady state; T lymphocyte; tumor associated leukocyte; tumor growth; tumor microenvironment","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85080886405"
"Moliner C.","Moliner, Christine (56153557100)","56153557100","Vulnerable masculinities? Gender identity construction among young undocumented sikh migrants in paris","2020","Religions","11","12","680","1","14","13","4","10.3390/rel11120680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098123710&doi=10.3390%2frel11120680&partnerID=40&md5=cc60bc45751c3abece04878cd97be0cb","This paper discusses the impact of immigration policies on the ways young undocumented Sikh migrants in Paris negotiate their masculinity. The current criminalization of labor migration from the global South in Europe is disrupting long established patterns of upward mobility through international migration, that entailed remitting money home, getting married and reuniting with one’s family in the host country and moving up the socio-professional ladder from low-paid jobs to self employment. Instead, the life of an increasing number of Sikh migrants in France and elsewhere is marked by irregular status and socio-economic vulnerability. In this context, undocumented Sikh migrants try to assert their gender identity in multiple ways, characterized by homosociality, the importance of manual labor, specific forms of male sociability marked by the cultivation of their body, while remaining firmly grounded in a Sikh/Panjabi religious universe through seva (voluntary service) and gurdwara attendance. © 2020 by the author. Licensee MDPI, Basel, Switzerland.","Construction sector; Fitness; Masculinity; Philanthropy; Sikhs in France; Undocumented migration","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85098123710"
"De Nadai M.; Xu Y.; Letouzé E.; González M.C.; Lepri B.","De Nadai, Marco (57015302700); Xu, Yanyan (55270440100); Letouzé, Emmanuel (57191592415); González, Marta C. (36913172600); Lepri, Bruno (14008023300)","57015302700; 55270440100; 57191592415; 36913172600; 14008023300","Socio-economic, built environment, and mobility conditions associated with crime: a study of multiple cities","2020","Scientific Reports","10","1","13871","","","","56","10.1038/s41598-020-70808-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089509805&doi=10.1038%2fs41598-020-70808-2&partnerID=40&md5=7f3724e1f63c4d4189f597ba2e822425","Nowadays, 23% of the world population lives in multi-million cities. In these metropolises, criminal activity is much higher and violent than in either small cities or rural areas. Thus, understanding what factors influence urban crime in big cities is a pressing need. Seminal studies analyse crime records through historical panel data or analysis of historical patterns combined with ecological factor and exploratory mapping. More recently, machine learning methods have provided informed crime prediction over time. However, previous studies have focused on a single city at a time, considering only a limited number of factors (such as socio-economical characteristics) and often at large in a single city. Hence, our understanding of the factors influencing crime across cultures and cities is very limited. Here we propose a Bayesian model to explore how violent and property crimes are related not only to socio-economic factors but also to the built environmental (e.g. land use) and mobility characteristics of neighbourhoods. To that end, we analyse crime at small areas and integrate multiple open data sources with mobile phone traces to compare how the different factors correlate with crime in diverse cities, namely Boston, Bogotá, Los Angeles and Chicago. We find that the combined use of socio-economic conditions, mobility information and physical characteristics of the neighbourhood effectively explain the emergence of crime, and improve the performance of the traditional approaches. However, we show that the socio-ecological factors of neighbourhoods relate to crime very differently from one city to another. Thus there is clearly no “one fits all” model. © 2020, The Author(s).","","Bayes Theorem; Boston; Built Environment; Chicago; Colombia; Crime; Culture; Humans; Los Angeles; Residence Characteristics; Social Environment; Socioeconomic Factors; Urban Population; Bayes theorem; California; Colombia; crime; cultural anthropology; demography; epidemiology; human; Illinois; Massachusetts; social environment; socioeconomics; urban population","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85089509805"
"El Refaee E.; Fleck S.; Matthes M.; Marx S.; Baldauf J.; Schroeder H.W.S.","El Refaee, Ehab (55313934400); Fleck, Steffen (23974178600); Matthes, Marc (55488817200); Marx, Sascha (57188761884); Baldauf, Joerg (9247482100); Schroeder, Henry W.S. (59029985900)","55313934400; 23974178600; 55488817200; 57188761884; 9247482100; 59029985900","Outcome of Endoscope-Assisted Microvascular Decompression in Patients with Hemifacial Spasm Caused by Severe Indentation of the Brain Stem at the Pontomedullary Sulcus by the Posterior Inferior Cerebellar Artery","2021","Operative Neurosurgery","20","6","","E399","E405","6","7","10.1093/ons/opab008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106543183&doi=10.1093%2fons%2fopab008&partnerID=40&md5=aad3f78290947ef0ecc1291b2d73d387","BACKGROUND: Microvascular decompression (MVD) is the most effective treatment option for hemifacial spasm (HFS). However, deeply located forms of compression would require proper identification to allow for adequate decompression. OBJECTIVE: To describe the usefulness of endoscopic visualization in one of the most challenging compression patterns in HFS, where the posterior inferior cerebellar artery (PICA) loop is severely indenting the brain stem at the proximal root exit zone of facial nerve along the pontomedullary sulcus. METHODS: Radiological and operative data were checked for all patients in whom severe indentation of the brainstem by PICA at pontomedullary sulcus was recorded and endoscope-assisted MVD was performed. Clinical correlation and outcome were analyzed. RESULTS: A total of 58 patients with HFS were identified with radiological and surgical evidence proving brainstem indentation at the VII transitional zone. In 31 patients, PICA was the offending vessel to the facial nerve. In 3 patients, the PICA loop was mobilized under visualization of a 45◦ endoscope. A total of 31 patients had a mean follow-up duration of 52.1 mo. The mean duration between start of complaints and surgery was 7.2 yr. In the last follow-up, all patients had remarkable spasm improvement. A total of 5 patients had more than 90% disappearance of spasms and 26 patients experienced spasm-free outcome. CONCLUSION: Although severe indentation of brain stem implies morphological damage, outcome after MVD is excellent. A 45◦ endoscope is extremely helpful to identify compression down at the pontomedullary sulcus. Deeply located compression site can easily be missed with microscopic inspection alone. © Congress of Neurological Surgeons 2021","Endoscope assisted; Facial nerve; Hemifacial spasm; Pontomedullary sulcus; Root exit zone","Brain Stem; Endoscopes; Hemifacial Spasm; Humans; Microvascular Decompression Surgery; Retrospective Studies; Vertebral Artery; polytetrafluoroethylene; adult; anterior inferior cerebellar artery; Article; brain stem; compression; dissection; facial nerve; facial nerve paralysis; female; follow up; hearing impairment; hemifacial spasm; hoarseness; human; magnetic resonance angiography; major clinical study; male; medulla oblongata; microsurgery; microvascular decompression; neuroendoscopy; neurosurgery; nuclear magnetic resonance imaging; outcome assessment; pons; posterior inferior cerebellar artery; postoperative complication; prospective study; retrospective study; surgical technique; symptom; treatment outcome; videorecording; brain stem; diagnostic imaging; endoscope; vertebral artery","Article","Final","","Scopus","2-s2.0-85106543183"
"","","","4th International Conference on Creativity in Intelligent Technologies and Data Science, CIT and DS 2021","2021","Communications in Computer and Information Science","1448 CCIS","","","","","625","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115838757&partnerID=40&md5=160a1838764782658c8a9416195ed394","The proceedings contain 45 papers. The special focus in this conference is on Creativity in Intelligent Technologies and Data Science. The topics include: Optimization of Internet of Things System; optimization of the Intelligent Controller Rule Base Based on Fuzzy Clustering for Controlling an Object Operating in Changing Conditions; new Communicative Strategies for the Affective Robot: F-2 Going Tactile and Complimenting; the System of Intelligent Identification of Harmful Objects in the Field of Agriculture; formalization of the Choice for Optimal Technological Solutions; evaluating State Effectiveness in Control Model of a Generalized Computational Experiment; comparative Study of the Innovative Activity Dynamics in the Russian Federation Using the Singular Spectrum Analysis; analysis of the Competitiveness Risks of Food Production Enterprises Using Mathematical Modelling Methods; system Approach in Organization of International Students’ Mobility; Adapting, Learning, and Control the Supply of a Vital Commodity Such as COVID-19 Vaccine; development of a Discrete Slicer for Additive Manufacturing; Automatic Calculation of Material Laying Trajectories When Preparing 3D Models for Five-Axis FFF Printing with Continuous Fiber Reinforcement; Constructing Equidistant Curve for Planar Composite Curve in CAD Systems; data Processing Pipeline: From 3D Surface Scanning to Coke Drum Residual Life Assessment; using Virtual Reality Systems for Crime Scene Reconstruction; collection and Consolidation of Big Data for Proactive Monitoring of Critical Events at Infrastructure Facilities in an Urban Environment; digital Technologies for Surveying Buildings and Structures; database of Architectural Patterns, Heritage Objects and Plots for Conceptual Design of Urban Objects; biometrics Databases as Forensic Registers; cybersecurity Specialists’ E-learning Problems.","","","Conference review","Final","","Scopus","2-s2.0-85115838757"
"Curtis-Ham S.; Bernasco W.; Medvedev O.N.; Polaschek D.","Curtis-Ham, Sophie (57194604294); Bernasco, Wim (6602916901); Medvedev, Oleg N. (56573675200); Polaschek, Devon (6603529993)","57194604294; 6602916901; 56573675200; 6603529993","A framework for estimating crime location choice based on awareness space","2020","Crime Science","9","1","23","","","","15","10.1186/s40163-020-00132-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094980085&doi=10.1186%2fs40163-020-00132-7&partnerID=40&md5=c2888e470657d3781f47bd2b500a454b","This paper extends Crime Pattern Theory, proposing a theoretical framework which aims to explain how offenders’ previous routine activity locations influence their future offence locations. The framework draws on studies of individual level crime location choice and location choice in non-criminal contexts, to identify attributes of prior activities associated with the selection of the location for future crime. We group these attributes into two proposed mechanisms: reliability and relevance. Offenders are more likely to commit crime where they have reliable knowledge that is relevant to the particular crime. The perceived reliability of offenders’ knowledge about a potential crime location is affected by the frequency, recency and duration of their prior activities in that location. Relevance reflects knowledge of a potential crime location’s crime opportunities and is affected by the type of behaviour, type of location and timing of prior activities in that location. We apply the framework to generate testable hypotheses to guide future studies of crime location choice and suggest directions for further theoretical and empirical work. Understanding crime location choice using this framework could also help inform policing investigations and crime prevention strategies. © 2020, The Author(s).","Awareness space; Crime location choice; Crime pattern theory; Rational choice theory; Routine activity nodes","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85094980085"
"Sharma N.; Sharma D.P.; Sharma M.","Sharma, Nisha (57220891543); Sharma, Durga Prasad (56134754400); Sharma, Manish (58135575900)","57220891543; 56134754400; 58135575900","Wormhole formation and simulation in dynamic source routing protocol using NS3","2020","Proceedings of the 2020 9th International Conference on System Modeling and Advancement in Research Trends, SMART 2020","","","9336794","318","322","4","1","10.1109/SMART50582.2020.9336794","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101059160&doi=10.1109%2fSMART50582.2020.9336794&partnerID=40&md5=1d9c6460de9357b2d8b5b09c7dcfb3e9","Mobile Ad hoc networks (MANET) are becoming extremely popular because of the expedient features that also make them more exposed to various kinds of security attacks. The Wormhole attack is considered to be the most unsafe attack due to its unusual pattern of tunnel creation between two malevolent nodes. In it, one malevolent node attracts all the traffic towards the tunnel and forwards it to another malevolent node at the other end of the tunnel and replays them again in the network. Once the Wormhole tunnel is created it can launch different kind of other attacks such as routing attack, packet dropping, spoofing etc. In past few years a lot of research is done for securing routing protocols. Dynamic Source Routing (DSR) protocol is considered foremost MANET routing protocols. In this paper we are forming the wormhole tunnel in which malevolent nodes use different interfaces for communication in DSR protocol. NS3 simulator is being used for the analysis of the DSR routing protocol under the wormhole attack. This paper provides better understanding of the wormhole attack in DSR protocol which can benefit further research. © 2020 IEEE.","DSR; MANET; NS3 Simulation; Wormhole Attack","Mobile ad hoc networks; Mobile security; Routing protocols; DSR protocol; Dynamic Source Routing Protocol; Exposed to; MANET routing protocols; Packet dropping; Routing attacks; Security attacks; Wormhole attack; Computer crime","Conference paper","Final","","Scopus","2-s2.0-85101059160"
"Vijaya Kumar B.P.; Dv S.; Hegde S.; Pankaj C.; Suresh S.; Ramakrishna P.","Vijaya Kumar, B.P. (24734292400); Dv, Sujana (57423503900); Hegde, Sahana (57423795900); Pankaj, Chongtham (57423651600); Suresh, Shruthi (58399699800); Ramakrishna, Priyanka (57424540700)","24734292400; 57423503900; 57423795900; 57423651600; 58399699800; 57424540700","Temporal based Network Packet Anomaly Detection using Machine Learning","2021","Proceedings of CONECCT 2021: 7th IEEE International Conference on Electronics, Computing and Communication Technologies","","","","","","","5","10.1109/CONECCT52877.2021.9622556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123375560&doi=10.1109%2fCONECCT52877.2021.9622556&partnerID=40&md5=77cebbe083f54de9e71fe678f9856f32","In the present computer networking scenario, due to increase in the amount of ubiquitous network usage with computers, mobile computing, sensing systems and IoT applications, there is a tendency for large-scale cyber-attacks to occur. With the enormous rise in cyber-attacks in today's world, it becomes imperative to monitor the network packet flow in order to identify attacks by intruders, which otherwise can lead to disruptions and losses in computing resources. These large dimensional and voluminous network packets have to be carefully examined and investigated for network anomalies, and will be a tedious and complicated task. Hence, to make this process simpler, a network anomaly detection model that considers the temporal variations in packet transmissions to identify the threats and to protect these networks against malicious activities is proposed. In this model, we propose a machine learning based anomaly detection system (ADS) that is capable of classifying malicious and benign traffic. At the same time, identifies the time varying patterns by using unsupervised learning that provides the patterns and hidden features in the captured packets. Kohonen's self-organizing map neural network (KSOM-NN) is used as an unsupervised learning method to classify the pre-processed packet features into clusters and thereafter the classification methods are used and verified with the labelled dataset. Similarly, a statistical analysis and a threshold value of packet loss, jitter, and other parameters for normal and anomalous packets are observed for further investigations. Above models were trained and tested with the UNSW-NB15 dataset. Totally the patterns are thoroughly analyzed for anomalies with the help of supervised and unsupervised machine learning algorithms. Improved performance with respect to anomaly detection rate and accuracy is observed. © 2021 IEEE.","Computer Networks; Intrusion Detections; Machine Learning; Network Anomaly; Supervised Learning","Classification (of information); Computer crime; Conformal mapping; Intrusion detection; Learning algorithms; Network security; Packet networks; Self organizing maps; Ubiquitous computing; Unsupervised learning; Anomaly detection; Computer networking; Intrusion-Detection; Machine-learning; Mobile-computing; Network anomalies; Network packets; Network usage; Supervised learning; Ubiquitous networks; Anomaly detection","Conference paper","Final","","Scopus","2-s2.0-85123375560"
"Fuentes-Santos I.; González-Manteiga W.; Zubelli J.P.","Fuentes-Santos, I. (55612155100); González-Manteiga, W. (55396991000); Zubelli, J.P. (6602457153)","55612155100; 55396991000; 6602457153","Nonparametric spatiotemporal analysis of violent crime. A case study in the Rio de Janeiro metropolitan area","2021","Spatial Statistics","42","","100431","","","","4","10.1016/j.spasta.2020.100431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082003150&doi=10.1016%2fj.spasta.2020.100431&partnerID=40&md5=621541506ddbea33b0db1369074adee4","This paper analyzes the spatiotemporal pattern of gunfire reports collected by the collaborative mobile app Fogo Cruzado in the Rio de Janeiro metropolitan area (Brazil). We apply nonparametric first and second-order inference tools to characterize gunfire behavior, and test whether gunfire patterns meet the assumptions of crime prediction models, such as kernel hotspot maps or self-exciting point process. The kernel intensity estimator describes the spatial distribution of gunfire and identifies chronic hotspots. The nonparametric test for comparison of first-order intensities found differences between gunfires with and without fatalities or police presence. The recently developed log-ratio based first-order separability test found that the spatial distribution of gunfire, fatalities and police presence varied over time. Finally, spatiotemporal inhomogeneous K-tests detected clustering between gunfire events, fatalities and police presence. These results suggest that a self-exciting point process with nonseparable background component is an acceptable model for future development of a suitable approach to forecast gunfire hotspots in Rio de Janeiro. © 2020 Elsevier B.V.","First-order intensity; Fogo cruzado; Gunfire; Inhomogeneous K-function; Kernel smoothing; Separability test","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85082003150"
"Gracia E.; Marco M.; López-Quílez A.; Lila M.","Gracia, Enrique (22957608300); Marco, Miriam (55998786900); López-Quílez, Antonio (57203926201); Lila, Marisol (55602188100)","22957608300; 55998786900; 57203926201; 55602188100","Chronic high risk of intimate partner violence against women in disadvantaged neighborhoods: An eight-year space-time analysis","2021","Preventive Medicine","148","","106550","","","","19","10.1016/j.ypmed.2021.106550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104445566&doi=10.1016%2fj.ypmed.2021.106550&partnerID=40&md5=b7e4f1beb1ee5ac5438e2a0ecb5d39fd","We conducted a small-area ecological longitudinal study to analyze neighborhood contextual influences on the spatio-temporal variations in intimate partner violence against women (IPVAW) risk in a southern European city over an eight-year period. We used geocoded data of IPVAW cases with associated protection orders (n = 5867) in the city of Valencia, Spain (2011–2018). The city's 552 census block groups were used as the neighborhood units. Neighborhood-level covariates were: income, education, immigrant concentration, residential instability, alcohol outlet density, and criminality. We used a Bayesian autoregressive approach to spatio-temporal disease mapping. Neighborhoods with low levels of income and education and high levels of residential mobility and criminality had higher relative risk of IPVAW. Spatial patterns of high risk of IPVAW persisted over time during the eight-year period analyzed. Areas of stable low risk and with increasing or decreasing risk were also identified. Our findings link neighborhood disadvantage to the existence and persistence over time of spatial inequalities in IPVAW risk, showing that high risk of IPVAW can become chronic in disadvantaged neighborhoods. Our analytic approach provides specific risk estimates at the small-area level that are informative for intervention purposes, and can be useful to assess the effectiveness of prevention efforts in reducing IPVAW. © 2021 The Author(s)","Bayesian spatio-temporal modeling; Disease mapping, intimate partner violence, neighborhood influences, small-area study; Neighborhood disadvantage; Spatio-temporal epidemiology; Violence against women","Bayes Theorem; Cities; Female; Humans; Intimate Partner Violence; Longitudinal Studies; Residence Characteristics; Spain; Vulnerable Populations; Article; controlled study; criminal behavior; education; feasibility study; female; geography; high risk population; human; immigrant; income; longitudinal study; low risk population; neighborhood; partner violence; retail outlet; risk factor; Southern European; Spain; Bayes theorem; city; demography; epidemiology; vulnerable population","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85104445566"
"Ding N.; Zhai Y.","Ding, Ning (57188846463); Zhai, Yiming (57205267137)","57188846463; 57205267137","Crime prevention of bus pickpocketing in Beijing, China: does air quality affect crime?","2021","Security Journal","34","2","","262","277","15","11","10.1057/s41284-019-00226-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076137248&doi=10.1057%2fs41284-019-00226-1&partnerID=40&md5=d2b236820ede02f7c0a8d9ea720c5e54","In recent years, along with the development of the urban public transport system, bus pickpocketing crimes have garnered increasing attention. In this paper, a complete and clear structure including finding patterns based on data, applying criminological theory to explain patterns, and using empirical investigation method to verify theoretical explanation are presented. We found that temperature and season are not clearly correlated with bus pickpocketing. The AQI and PM2.5 indices, however, demonstrated significant correlations with daily bus pickpocketing incidents: the worse the air quality, the more bus pickpocketing occurred. Then two empirical investigations were carried out to verified that crime pattern theory and rational choice theory can be used to explain the impact of air quality on bus pickpocketing crime. Furthermore, we utilized the SVM method to predict daily bus pickpocketing crime risk with an accuracy rate of 81%. The results of this paper can provide early warnings of urban bus pickpocketing and help police reduce crimes. © 2019, Springer Nature Limited.","Air quality; Bus pickpocketing; Crime prediction; Empirical analysis; Support vector machine","","Article","Final","","Scopus","2-s2.0-85076137248"
"Chai A.M.M.; Beauregard E.; Chopin J.","Chai, April Miin Miin (57217050359); Beauregard, Eric (17344924200); Chopin, Julien (57195104543)","57217050359; 17344924200; 57195104543","“Drop the Body”: Body Disposal Patterns in Sexual Homicide","2021","International Journal of Offender Therapy and Comparative Criminology","65","6-7","","692","714","22","17","10.1177/0306624X20931436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085924173&doi=10.1177%2f0306624X20931436&partnerID=40&md5=b616ea71e0c2020623cfd1e766e9ed2e","The current study investigates body disposal patterns in sexual homicide and examines whether offender’s behavior differ between solved and unsolved cases. To address these two research questions in line with rational choice perspective, a series of logistic regression analyses was conducted on a sample of 250 solved, and 100 unsolved sexual homicide cases in Canada. Within solved cases, results show that if victim is a prostitute, body found concealed, and found lying face down, it is likely the body was moved. For unsolved cases, the role of victim as a prostitute, and body recovered outdoors suggest that the body was moved. Further, results indicate that post-crime phase factors predicted the most whether the victim’s body was moved in solved cases. Whereas within unsolved cases, crime-phase factors contributed the most at predicting whether the body was moved post-homicide. Theoretical and practical implications from this study are discussed. © The Author(s) 2020.","body disposal patterns; crime-commission process; Modus operandi; rational choice; sexual homicide","Crime Victims; Criminals; Homicide; Humans; Sex Offenses; Sexual Behavior; article; Canada; crime; homicide; human; prone position; sex worker; theoretical study; victim; crime victim; homicide; offender; sexual behavior; sexual crime","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85085924173"
